and we'll do that in a second .	接下來 , 我們會做些什麼事 。
sometimes we just like the perks .	有時候 , 我們會看到它的樣子 。
how did we get here ? what happened ?	我們在哪裡做些什麼事 ?
that was the whole earth catalog .	這是地球上最棒的 。
people thought that was crazy .	人們認為 , 這真的是很棒的 。
so it's ingesting .	所以 , 這真的是很棒的 。
af: absolutely . absolutely .	克:不好 , 沒錯 。
vladimir: godot .	克里斯:謝謝:謝謝謝謝 。
it's easy to fool ourselves .	這真的很容易 。
you can start painting on any wall .	你可以看到 , 把它們帶到牆上 , 感覺起來 。
and you know why they have a design ?	你知道嗎 ? 你知道嗎 ?
so why might it be hard to find ?	所以 , 這可能是為什麼我們不想知道 ?
why not you , why not you ? "	為什麼 , 你不知道嗎 ? 」
it really involves many different areas .	很複雜的 , 許多人都不一樣 。
i want to start by doing an experiment .	我想要告訴大家一個簡單的實驗 。
we need to be less predictable .	我們需要更好的解決方法 。
and we only get about 10 percent .	我們必須有25% 。
we do all kinds of things .	我們都在做什麼事 。
and without the humor .	沒有人 , 沒有人 。
it will take all of you . "	這樣 , 大家會說: 「 嘿 ! 」
now it had a sense of place .	這裡 , 這裡是最好的 。
it is growing all around us .	這是我們所需的 。
i said , " ok . "	我說: 「 嘿 , 啊 ! 」
but i did much more than that .	但是我有更好的更好 。
pick up the phone and dial .	用手機 , 手機 , 手機 。
it is why i look to art .	這就是為什麼我覺得這張照片 。
imagine that orchestration .	想像一下 , 人工智慧 。
any of you play video games ?	誰在玩遊戲時 , 玩耍嗎 ?
can you guess for what ?	你應該要做些什麼事嗎 ?
but she knows where he is .	但她知道他是誰 。
language can't math me .	聽起來聽起來像我一樣 。
zabalaza .	克里斯坦:謝謝 。
so this story stayed with me .	所以 , 故事是我所愛的 。
no , these legs are great .	不論是 , 沒有人 , 沒錯的 。
people are the only thing we have .	很多人都知道我們在做的事 。
people got a little too creative .	人們都喜歡的 , 很棒的 。
you stay away from design for development .	你必須在社交媒體上 。
i suspect the latter .	我覺得 , 愛滋病 。
have a great session .	最好的最好點 。
but we've been there before .	但現在 , 我們已經開始了 。
it's a wonder in itself .	這真的很棒 。
it's like a drug deal .	這裡是健康的 。
hers is more into boys .	她媽媽媽媽媽媽媽媽 。
we didn't have any hope .	我們不需要任何人 。
it is a biological computer .	這是個生物系統 。
have you ever had any diseases ?	你在哪裡有多少人嗎 ?
and they turn up the lights .	牠們的眼睛 , 很快 。
so , how much would this cost ?	所以 , 問題是 , 哪些什麼 ?
none of these is actually real .	不論是很棒的 。
and this is a war on information .	這是個很棒的國家 。
audience: what are you reading ?	觀眾說: 「 你會怎麼辦 ?
yes , sneakers .	沒錯 , 沒錯 。
and i'll close it there .	我很快 。
these are the uavs .	這些人都不過了 。
paper has some downsides .	其中一個例子是: 「 天啊 , 天啊 !
so who gets to do it ?	所以 , 誰會怎麼辦 ?
we can't scale .	我們也不用它 。
they really influence people .	他們對他們所知的情感 。
this is a straight line .	這張照片是很棒的 。
but look what we just did today .	但 , 今天 , 今天我們現在要做的事 。
iran is doing that right now .	我很幸運的是 。
but he had a gift .	但他有很棒的 。
but i'm still curious .	但我很幸運 , 很明顯 。
i'm serious .	我很幸運 。
and we need collusion .	我們必須做得更好 。
that's the issue , right ?	問題是 , 哪些問題 ?
kòp kun ka .	克里斯·安德森:謝謝謝謝 。
but perhaps familiar ?	但 , 可能是嗎 ?
in change and development and growth .	改變了 , 改變了 , 改變了 , 改變了 。
they mean it and they believe it .	他們說 , 不論他們是誰 。
and a light went on for me .	接下來 , 我的眼睛就好了 。
what does it mean to be normal ?	什麼是 , 什麼是嗎 ?
it's just hard on everybody .	這樣 , 每個人都有機會 。
or take another example: big data .	舉例來說 , 數據是:
after that , the sex is easy .	最後 , 心臟病是很困難的 。
but , how exactly does this happen ?	但 , 到底發生了什麼事 ?
we were growing as a team .	我們已經在學校裡學到了 。
where did you leave my keys ?	你在哪裡 , 什麼是嗎 ?
and you know what i found out ?	你們知道我在哪裡 , 我知道嗎 ?
and he did not want to pay .	他不需要錢 。
we have not learned every single rule .	我們沒有任何人 , 都沒有任何人 。
apps and hardware .	更好的 , 更好的 。
and this sometimes went on for hours .	每個月之後 , 孩子們會發生了 。
it takes our collective will .	可以讓我們更快 。
jm: yes , exactly .	克:嗯 , 沒錯 。
seven to two , they ruled .	第四個 , 都有了 。
more abstract .	更好的例子 。
so what happened to emma ?	所以 , 發生了什麼事 ?
this is a robot , autom .	這是機器人的機器人 。
start by doing no harm .	最後 , 不論是不可怕的 。
am i that charming ?	我是說 , 誰是嗎 ?
and that was some outreach .	這張照片是很棒的 。
the environment changed very slowly .	生命改變了 , 改變了 。
we're not talking .	我們沒有說話 。
what’s going on here ?	接下來 , 到底是怎麼辦的 ?
afghanistan .	愛滋病 。
can you spot the difference ?	你能在哪裡 , 哪些嗎 ?
you already have everything you need .	你有機會 , 不需要你 。
this is a big joke .	這是個很棒的 。
and we want to dream big .	我們希望夢想的夢想 。
how are these people standing ?	所有人都知道嗎 ?
but i do think you can .	但我希望你們能做些事情 。
these were the bad projects .	這些都是很棒的 。
it was a wonderful experience .	這真的是很棒的 。
and worse . . .	沒錯 , 沒錯 。
we have to deal with it .	我們必須做得更好 。
and maybe that's true .	或許 , 這真的是很棒的 。
but they were not teaching .	但他們沒有任何老師 , 不論是誰 。
the network is redundant .	建築物是很棒的 。
i love people with any disease .	我不喜歡愛滋病 。
sg: well done !	克:謝謝你 !
there's a better way .	更好的是 , 更好的 。
so it's the data .	所以 , 數據是 , 數據是 。
i certainly wasn't .	我不知道 , 沒錯了 。
it gave me courage .	讓我把我的手指出我 。
the idea matters a lot .	問題是 , 最好的 。
how much could we pay you ?	什麼是 , 我們需要什麼 ?
there are things they care about .	所有人都知道他們 。
makes us look really young .	看一下 , 孩子們也知道了 。
let's play a game .	咱們來玩遊戲 。
these are now two years out .	這張照片在過去幾年 。
" oh , my god ! "	「 噢 , 啊 , 啊 ! 我媽媽 ! 」
so what to do about it ?	所以 , 到底是如何運作的 ?
surely , we know enough .	當然 , 我們知道 , 我們要做得更好 。
but had it ever existed ?	但這一切都不夠了嗎 ?
so how do we get there ?	那麼 , 我們如何做些什麼 ?
we're born for them .	我們的確是他們 。
25 years it took .	五年後 , 不久了 。
however , bad things happen .	但 , 問題是 , 發生了什麼事 。
why is 25 percent important ?	為什麼有95% ?
but then they often wait there .	但 , 有些時候 , 他們會做些事 。
i got another chapter .	我剛剛剛剛剛剛說過的 。
this is five times larger .	這是個大小的三分之一 。
nothing worked until i found this .	不久之後 , 我發現了什麼事 。
now , testing is important .	問題是 , 問題是 。
ca: so help us understand .	克里斯:所以我們想要做些什麼事 。
you say , you know what ?	你說: 「 你知道嗎 ? 」
well , it is the future .	嗯 , 未來的未來 。
here's the first example .	這是第一個例子 。
she is 15 years old .	她是六歲 。
it's a reality now .	這真的很棒 。
now it's gone .	這裡 , 這裡 , 沒錯了 。
dp: wow .	克:謝謝:謝謝 。
but why can't they ?	但為什麼他們沒有什麼 ?
so the idea was pretty simple .	這真的是很簡單的 。
this is faith .	這真的是很棒的 。
jack of spades .	克里斯·安德森:謝謝 。
how can we be so sure ?	我們應該要做些什麼 ?
because this is where we are .	因為這就是我們所知的 。
no other country can do that .	不論是 , 不論你是誰 。
we do have to protect them .	我們必須保護我們的社區 。
we love making patterns too .	我們稱之為不可思議 。
enter the twist .	一開始 , 法律師 。
so how do you do that ?	所以 , 你該怎麼做 ?
and that's not me .	這不是我所知的 。
and you are correct .	你的確是很棒的 。
and i'm a mother .	我媽媽媽媽媽媽
i was lucky .	我很幸運 。
and so what do we do ?	所以 , 我們在做什麼事 ?
how would you go about it ?	你會如何做些什麼事 ?
here's an early computer .	這裡 , 電腦是電腦的 。
so you get something like this .	所以 , 這裡 , 你的看法是很棒的 。
and time to land .	再次 , 不久 。
lt: right .	克里斯:謝謝 。
one's a fish .	綠色是綠色的 。
or step out of it .	不論是 , 什麼都不好了 。
thank you . thank you .	謝謝你 , 謝謝你 。
they are not trusted .	他們不相信自己 。
that was the family business .	這是個國家的社區 。
it will get to you .	這樣你就可以做得好 。
audience: ooh !	觀眾:謝謝 !
just think for a moment .	想像一下 , 看一下 。
they have always been wrong .	他們會說: 「 沒錯 。 」
thank you very much .	非常謝謝你 。
we didn't eat .	我們沒有吃食物 。
so how does that work ?	所以 , 到底是如何運作的 ?
thank you , yeah .	謝謝 , 非常謝謝你 。
that's real time .	這真是令人興奮的 。
i am angry .	我很幸運 。
buy african products .	食物是水的 。
thank you . thank you .	謝謝你 , 謝謝你 。
but we don't .	但是我們沒有辦法 。
not only in humans .	沒有任何人都不過 。
so it does that well .	所以 , 這真的是很棒的 。
she couldn't answer .	她不曉得不懂 。
thank you , thank you .	謝謝你 , 謝謝你 。
thank you . thank you .	謝謝你 , 謝謝你 。
and that question is this .	這個問題是 , 問題是 , 問題是 。
then i made a book .	接著 , 我寫了一本書 。
js: no .	克:好 , 沒錯 。
thank you very much .	非常謝謝你 。
we don't know .	我們不知道 , 沒有什麼 。
thank you very much .	非常謝謝你 。
what if i could have ?	如果我能做些什麼 ?
that social life is important .	這種社會的挑戰是很重要的 。
these changes are coming .	這一切都改變了 。
how does all this work ?	到底是如何運作的 ?
chad , 2 percent .	舉例來說 , 5% 。
this caused her pain .	牠媽媽媽媽媽媽媽 。
two words: pay up .	第二個: 「 天啊 !
what would it look like ?	這樣像這樣像這樣嗎 ?
but both things were happening .	但 , 很多事情都發生了 。
and it worked , too .	這樣 , 一切都不夠了 。
technology can do the same .	科技可以改變 。
but there is another point .	但另一方面 , 有些事情 。
thank you very much .	非常謝謝你 。
what are other causes ?	更重要的是 , 什麼 ?
you should have been there !	你現在都好好了 !
" i know that . "	「 我知道 , 我知道 。 」
for what is a man ?	什麼是 , 誰是誰 ?
and this is what happened .	這真的是很棒的 。
it had to be done .	做得很好 。
he disagreed .	他的感覺也不過了 。
raise your hand .	請你 , 請你 。
mb: no .	克:好 , 沒錯 。
today , i use it .	今天 , 我在想 , 不管我 。
turns out , nothing .	結果 , 不論是不錯的 。
and i saw a sign .	我看著這張照片 。
this happens to us .	這是我們所需的 。
don't they ?	沒有人 , 沒有嗎 ?
they set people off .	他們都在乎他們 。
how do we create ?	我們如何做些什麼 ?
everything goes into it .	每件事都不一樣 。
can you do that ?	你能做些什麼事 ?
or should they not ?	不論他們是否不知道嗎 ?
so it could happen .	所以 , 或許 , 這樣 , 才會發生 。
how do you know ?	你知道嗎 ?
this is the size .	這裡是綠色 。
said i could help .	說: 「 我想要幫助我 。 」
but it works !	但 , 一切是 , 天啊 ! 啊 !
goes on from there .	再一次 , 這裡的一部分 。
we stand with them .	我們都在他們身上 。
can you see it ?	你可以看到這張照片嗎 ?
do you sense them ?	你在哪裡 , 感覺著嗎 ?
so , yeah .	嗯 , 沒錯 。
it was painful .	這真的很痛苦 。
now some hair .	這裡 , 黑猩猩猩猩猩 。
but something interesting happened .	但有趣的是 , 發生了什麼事 。
let's not .	沒錯 , 沒錯 。
and then , this .	接著 , 這裡 , 真的是這樣 。
what does that mean ?	答案是 , 是什麼 ?
listen to it again .	聽起來 , 聽起來 。
this is not new .	這真的是不可思議 。
it became the media .	它是藝術家 。
it's cool .	這真的是很棒的 。
thank you so much .	謝謝你 。
i think we can .	我希望我們能用它 。
and it is important .	這真的是很重要的 。
i don't .	我不喜歡 。
thanks so much .	非常謝謝你 。
thank you so much .	謝謝你 。
we tell ourselves stories .	我們告訴我們自己的故事 。
and many others .	許多人都不一樣 。
this has to go .	這裡 , 會發生的事 。
what were you doing ?	你在做什麼事嗎 ?
and then . . .	最後 , 沒錯 。
and it did .	這樣 , 一切都不好 。
" really ? "	「 真的嗎 ? 」
it just happens .	這樣發生了 , 發生了 。
stories are amazing .	故事是很棒的 。
ca: amazing .	克里斯:謝謝 。
it actually happens .	這真的很容易 。
second: water .	第二 , 綠色 。
you americans .	你是美國人 。
i felt nothing .	我不喜歡自己 。
and she is .	她很喜歡 。
it works .	這樣做 , 做得很好 。
i love you .	我喜歡你們 , 聽起來 。
why is this ?	為什麼 , 到底是嗎 ?
what just happened ?	什麼時候發生了什麼事 ?
so consider this .	所以 , 想像一下 , 這裡 , 這裡 。
what the f ?	到底是怎麼樣 ?
they got back .	他們開始了 。
i was wrong .	我很幸運 。
thank you everybody .	謝謝你 , 聽起來 。
and they did .	他們的確是他們 。
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
now right ?	好嗎 ?
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thanks .	謝謝謝謝 。
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thanks .	謝謝謝謝 。
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
take music .	聽起來像音樂家 。
remember fire ?	記得嗎 ? 記得嗎 ?
example two .	舉例來說 。
okay ?	好吧 ? 好吧 ?
ok ?	好嗎 ?
have sex .	愛滋病 。
wow .	不幸的是 。
thank you .	謝謝謝謝你
yeah .	嗯 , 沒錯 。
i understand .	我知道 , 我想要了 。
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
thank you .	謝謝謝謝你
right ?	對吧 ?
what ?	什麼是嗎 ?
how ?	什麼事 ?
china .	中國的國家 。
education .	教育是教育的 。
we try to avoid blowing ourselves up .	我們會把自己轉變為止 。
it may even be subject to elimination .	即使是你所預期的 。
this is india coming up , with the first data from india .	這是印度的印度 , 印度是印度的 。
and i think , actually , that's already really happening .	我認為 , 這真的是很艱難的 。
they have to return the letter . "	他們會被摧毀 。 」
so it isn't in the series .	所以 , 沒有人工智慧 。
those are the questions i want to talk about today .	這個問題是 , 今天我知道我在想什麼 。
yr: yeah , twometer span .	克里斯:好 , 三分之一 。
let me first grade what are the most important means .	首先 , 這是我所知的最佳問題之一 。
so this is something that must be addressed .	這是我們所需的最好的 。
it's another way of getting the intuition .	其中一部分 , 會發生什麼事 。
it's preposterous on its face .	這會是很棒的 。
they hunt . they grow crops .	他們不過 , 牠們的身體 , 都不過 。
the other is called the lester election .	其中一個叫做 「 紅色 」 。
sc: i mean , that speaks volumes .	答案:我是說: 「 嗯 , 愛滋病 。
this is called " dawn to dawn . "	這叫做 「 女兒 」 。
the mende sons of bastards .	美國人都不喜歡 。
you become the president of the united states .	你在美國的國家中 , 會是美國人 。
so this is where the mouse came from as well .	這張圖片是很棒的 。
i mean , that's all i heard growing up .	我的意思是 , 人們會說 , 我是說的 。
and so i want to do a little demo for you .	所以 , 我希望你們要做些好事 。
resolutions , smoke .	心臟病 , 很棒 。
there would be a lot of money flowing into the countries .	這裡有更多的錢 , 超過一萬美元 。
most of the time , everything is recorded insync .	很多時候 , 許多人都在做 。
and the amazing thing is these guys were flying .	最令人驚訝的是 ,
that was nearly 14 , 000 babies .	直到十五萬人 。
this was exactly the initial dream of that project .	這是我在學校裡學到的事 。
but indeed , that is exactly what we do .	但事實上 , 這是我們所做的 。
they haven't had a war in 200 years .	不久之後 , 過去幾年 。
i'll show you by drawing a simple picture .	我想要展示這張圖片的照片 。
what if he's psychotic ? "	如果他是誰 ? 」
jason harley did that for me .	克里斯·安德森:我對我感到興奮 。
i said , " what do you want to do ? "	我說: 「 嘿 , 你想要做什麼 ? 」
turns out we kind of do a reasonable job .	我們所做的是 , 做得更好 。
that's 23 times the global average .	這是2000年的全球暖化 。
i loved it , but it didn't work .	我不喜歡 , 不是因為我不喜歡 。
the dinosaurs had a really bad day .	最好的事情是 , 沒錯的 。
victory was a very weird feeling .	愛滋病是很困難的 。
and i went to bed every night thinking about it .	我會記得 , 孩子們就想了 。
they didn't get very far , obviously .	沒有人 , 沒錯 , 沒錯 。
this is the cubestormer ii .	這是我所謂的 「 綠色 」 。
you were separated from your family by the state .	你在家裡 , 你的家人都在家裡 。
the building was finished in 1983 .	在1999年 , 紐約市人在1999年 。
we didn't create jobs for our youth .	我們不需要我們所需的工具 。
all of these people , one profession .	這些人都知道 , 人工智慧 。
my mother wanted me to be a dentist .	我媽媽媽媽媽媽媽媽媽媽媽媽 。
and i hope she's somewhere safe .	我希望她 , 要讓她更好 。
so , first of all , it's really fun .	首先 , 真的很棒 。
say your motorcycle crashes .	說: 「 愛滋病 。
that's how you create a collective goal .	這就是為什麼你在網路上做的事 。
do you want to let it loose on the internet ?	你想要在哪裡 , 會怎麼樣 ?
how many of you won just won thumb ?	有多少人在哪裡 , 你會怎麼辦 ?
the taliban now run their own schools .	孩子們在家裡 , 讓孩子們們 。
and like anything else listen , it takes resources .	聽起來聽起來 , 不管你有更多的錢 。
he wants to clunk me over the head !	他告訴我 , 媽媽 , 媽媽媽媽 。
and we can do that for another neuron in green .	我們能用這類生物學的基因 。
this is an image of rain in motion .	這張圖片的圖片是很大的 。
i'm human . i make mistakes .	我的意思是 , 我對我感到興奮 。
and those distributions grow .	這些人都不過了 。
so malaria is a disease that kills you .	所以 , 癌症是 , 癌症是血液病 。
so this is a small crank generator .	這是個小型型型型型型的小型 。
turns out ants are pretty good at this .	結果是 , 這真的很棒了 。
this is if there was an issue on the pad .	嗯 , 這個問題是 , 這個問題是 , 該發生什麼事 ?
his name is adam rifkin .	他稱之為 「 黑人 」 。
you should have seen my parents' reaction !	你都記得我 , 媽媽媽媽媽媽媽媽媽媽媽媽 。
but there were other novelties as well .	但 , 許多人都沒有任何人 。
we're not trying to control polio .	我們不需要把它們放棄 。
and i wanted to deal with other subjects .	我想要讓大家更有興趣 。
this one is called the netherlands .	這張照片叫做 「 綠色 」 。
and are you yawning right now ?	你現在在哪裡嗎 ?
yeah , we'll have to work on that .	嗯 , 我們必須做些事 。
and it's not for lack of trying .	不論是不可思議 。
and they're incredible guys .	而且他們也不喜歡自己 。
and then there is static apnea .	接著 , 大型的電池 。
some people broadcast the whole time .	許多人都在想過 。
so it was a world without grandparents .	所以 , 世界都沒有任何人 。
they grow 10 meters long ; some say bigger .	每次 , 數百分之二 , 三分之二 。
this is data actually on the consolation behavior .	這是個簡單的數據 。
this is how they divide classrooms .	這是他們所謂的一部分 。
and it's the same thing with coding .	這樣像這樣 , 都很容易 。
the big one is to be not afraid .	最好的事情是 , 不論是不可怕的 。
and i looked at word analysis .	我看著我說: 「 愛滋病 。 」
we cannot afford to take that chance .	我們不需要做得更好 。
my story is the power of a metaphor .	我的故事是很棒的 。
this is how it looked like about six years ago .	這張圖顯示了兩年前 。
well , it turns out , quite a lot .	嗯 , 這真的是很棒的 。
whose son shall it be ?	誰是誰 , 不是嗎 ?
now , to the satellites things .	接下來 , 這裡的樣子是如何的 。
and all i could detect was this energy energy .	我能用它的能量 , 可以改變能量的能量 。
1959 , ok and the month ?	1999年 , 美國人在哪裡 ?
it's complete security theater .	這真的是不可怕的 。
so that's what we're going to do .	這是我們所做的 。
i mean , it could have been otherwise .	我的意思是 , 每次都不一樣 。
so much has happened since the last time i seen you .	今年 , 我發現我在做的事 。
what an odd choice for powerful man to make .	女性的選擇是要讓自己更好 。
i can call 911 for you and send help .	我是說: 「 嘿 , 孩子們 , 請你去去 。 」
in angola or afghanistan .	阿拉伯·威廉爾是阿拉伯人 。
they do lots of inconsistent things .	他們有許多人的信任 。
but for our cities , we've been stuck .	但在城市裡 , 我們的城市都不過了 。
my team lost ; the national coach walked away .	我的家人在家裡 , 一家都不過了 。
chris anderson: did you touch it ?	克里斯:謝謝你嗎 ?
each module could do things with a pattern .	每一個人都能做些什麼事 。
i did what many girls and women learn to do .	我有一個年輕男孩們的孩子們 , 會說什麼事 。
the city called me and asked if our technology could help .	在我的城市裡 , 我想要創造出一個科技 , 讓我們能做些什麼 ?
and by the way , it's continued to .	結果是 , 不論是 , 不久 。
develop and save more of you now for later in life .	未來的成長 , 未來 , 會發生什麼事 。
pause now to figure it out for yourself .	接下來 , 要告訴大家自己 。
what if i had told her my story years ago ?	假如我在紐約時 , 我知道我在說什麼 ?
so the most important thing is integrity .	所以 , 最重要的是 , 最好的挑戰 。
almost 24 million people have diabetes .	大約有500萬人 。
but to me , things aren't the future .	但我想 , 未來 , 未來的未來 。
ok , so that was a massive failure .	嗯 , 這真的是很艱難的 。
ws: and done ! ok , good job !	哇 ! 噢 ! 噢 ! 噢 ! 噢 ! 噢 ! 噢 ! 噢 ! 噢 ! 噢
gc: after last night , not for a while .	克:好 , 晚上 , 不好 , 不久 。
and so it came to me in waves .	所以 , 讓我把我帶到這張照片 。
so what if you've targeted cells ?	所以 , 你的基因細胞是如何運作的 ?
you're really left alone with your own thoughts .	你的感覺是你所愛的 。
to climate change that would be like kyoto .	氣候變遷變遷 , 不管是最好的 。
and i said , " am i asexual now ?	我說: 「 嗯 , 我知道嗎 ?
did anyone see " lost in translation " ?	沒有人說: 「 嘿 , 不論是什麼 ? 」
and that's the role of the presenter .	這張照片是很棒的 。
how will you cook your chicken now ?	你如何在哪裡 ? 哪些 ?
so i resolved to give more .	所以 , 我把錢變得更好 。
you know , one word: tunisia .	你知道吧 , 說: 「 嗯 , 嗯 , 很棒的 。
to , " could we have done something about it ? "	說: 「 我們能做些什麼 ? 」
yes , he probably had ongoing depression .	當然 , 他的確認是不可思議 。
now to the second potential misunderstanding .	接下來 , 第二項事情是很困難的 。
there are two billion young people between 15 and 30 .	大約有三十億人 , 超過十億人 。
sever his spine at the neck .	牠 , 他的血管是很高的 。
now , what is the beauty in it ?	現在 , 什麼是 , 什麼是嗎 ?
uh , sure , that'd be great .	幸運的是 , 真是很棒 。
you don't just zip right into it .	不管你不用去 。
so , what does that precision buy us ?	所以 , 什麼是 , 什麼 ?
we are going to use it in and around humans .	我們都能在地面上 , 和其他人都一樣 。
here's a human heart at 25 days .	這是我們所知的一半 。
the problem was solved in less than a day .	問題是 , 問題是 , 孩子們會發生什麼事 。
what causes recessions ?	大腦的壓力是什麼 ?
is it nurture or is it nature ?	不論 , 不是嗎 ? 不是嗎 ?
it's even smaller in scale .	即使是小小的 。
the world has other universal languages .	世界各地的語言都不一樣 。
the farmers were overjoyed .	大量的農場都不過 。
this is one of the most beautiful things i know .	這是我所知的最好的例子 。
forge meaning and build identity .	信任是 , 創造力和創造力 。
so , how could we make better sense about this ?	那麼 , 我們能如何做些什麼 ?
it started as a means of selfexpression .	直覺開始 , 情緒的感覺 。
so on large scale what do they use ?	所以 , 大部份的機器人會怎麼樣呢 ?
now , we started working together 18 months ago .	接下來 , 我們開始在學校裡 , 開始了 。
and three , don't leave before you leave .	第二方面 , 不管你會去做 。
the final movement is called mounds .	一個叫做 「 大自然 」 的 「 平台 」 。
these are the two factors that always come out .	這兩種事情都不一樣 。
that's why it's on the street .	這就是為什麼我們在街上 , 誰是家人 。
well , good news . we got the time .	好吧 , 我們的目標是 , 我們的未來 。
and costa rica's not alone .	不幸的是 , 沒有任何人 。
which is why orion has weapons .	意思是 , 不論我們是如何的 。
some even said i had a political motive .	有人說 , 我是政治主義者 。
so we've got big cost challenges here .	所以 , 我們現在已經做得更好了 。
and this makes sense , of course , right ?	這真的很容易 , 對吧 ?
so i have not come here to complain .	所以 , 我不喜歡這張圖片 。
but i hope you see where we're going .	但我希望你們 , 希望我們在想 。
ghana felt safe to me as a child .	媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽
what i saw was my teachers coming through me .	我知道我在教室裡的朋友們 。
oh , that's awesome !	好吧 , 啊 ! 啊 ! 啊 ! 啊 !
let me talk about " hamlet . "	讓我說: 「 嗯 , 愛滋病 。 」
i was like , this is gorgeous .	我的意思是 , 這真的是很棒的 。
