and we'll do that in a second .	我們必須再次做一次 。
thank you so much .	非常謝謝 。
i think we can .	我認為 , 我們能做到 。
and it is important .	它是很重要的 。
i don't .	我不是這樣 。
thanks so much .	非常謝謝 。
thank you so much .	非常謝謝 。
we tell ourselves stories .	我們告訴他們 , 我們的故事 。
and many others .	很多其他其他 。
this has to go .	要做些事 。
what were you doing ?	你在哪裡 ?
and then . . .	接著 , 等等 。
and it did .	結果是如此 。
" really ? "	「 什麼 ? 」
it just happens .	它會發生什麼事 。
stories are amazing .	故事是故事的故事 。
ca: amazing .	克里斯:嗯 , 很棒 。
it actually happens .	結果發生了 。
second: water .	第二:水 , 水 。
you americans .	你是美國人 。
i felt nothing .	我感覺到 , 沒有什麼 。
and she is .	她是這樣的 。
it works .	它是如此的 。
i love you .	我愛你 。
why is this ?	為什麼這樣呢 ?
what just happened ?	到底發生了什麼事 ?
so consider this .	所以 , 想想一下這一點 。
what the f ?	到底是什麼呢 ?
they got back .	他們開始了 。
i was wrong .	我是錯的 。
thank you everybody .	謝謝大家 。
and they did .	然後他們就這樣做 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
now right ?	好吧 , 對吧 ?
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thanks .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thanks .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
take music .	音樂音樂 。
remember fire ?	記得 , 黑人死了嗎 ?
example two .	舉例來說 。
okay ?	好吧 ?
ok ?	好吧 ?
have sex .	人性主義 。
wow .	嗯 , 哇 !
thank you .	非常謝謝 。
yeah .	沒錯 。
i understand .	我了解了我 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
thank you .	非常謝謝 。
right ?	對吧 ?
what ?	到底是什麼呢 ?
how ?	到底是什麼呢 ?
china .	中國中國 。
education .	教育是教育 。
we try to avoid blowing ourselves up .	我們試著把自己帶給自己 。
it may even be subject to elimination .	它可能可能會被視為為例 。
this is india coming up , with the first data from india .	這是印度 , 印度 , 印度 。
and i think , actually , that's already really happening .	我想 , 這真的很驚訝 。
they have to return the letter . "	他們都需要了 。 」
so it isn't in the series .	所以 , 不是這樣的 。
those are the questions i want to talk about today .	這就是我今天的問題 。
yr: yeah , twometer span .	克里斯:嗯 , 嗯 , 三 , 三 。
let me first grade what are the most important means .	讓我告訴各位一個問題 , 最重要的是 。
so this is something that must be addressed .	所以 , 這一切都能做到 。
it's another way of getting the intuition .	它是另一種方式 。
it's preposterous on its face .	它會發生什麼事 。
they hunt . they grow crops .	牠們成長 , 牠們成長了 。
the other is called the lester election .	另一方面 , 叫做 「 蛋白質 」 。
sc: i mean , that speaks volumes .	克里斯:嗯 , 我是說的 。
this is called " dawn to dawn . "	這名叫 「 女兒們 」 。
the mende sons of bastards .	女性的名字 。
you become the president of the united states .	你在美國的國家裡 。
so this is where the mouse came from as well .	所以這張照片是從哪裡來的 。
i mean , that's all i heard growing up .	我的意思是 , 我已經聽到了 。
and so i want to do a little demo for you .	所以 , 我想要讓你們看些什麼 。
resolutions , smoke .	愛滋病 , 等等 。
there would be a lot of money flowing into the countries .	那裡有更多的國家 。
most of the time , everything is recorded insync .	大部分的一切都發生了 。
and the amazing thing is these guys were flying .	有趣的是 , 這些人都很驚訝 。
that was nearly 14 , 000 babies .	大約是4000萬美金 。
this was exactly the initial dream of that project .	這張圖書館的夢想是如此 。
but indeed , that is exactly what we do .	但事實上 , 結果是如此 。
they haven't had a war in 200 years .	他們沒有超過2000年 。
i'll show you by drawing a simple picture .	我給你們看這張照片 。
what if he's psychotic ? "	如果他是心理學家 ? 」
jason harley did that for me .	克里斯·安德森森森森森森林 。
i said , " what do you want to do ? "	我說: 「 你怎麼做 ? 」
turns out we kind of do a reasonable job .	結果是 , 我們所做的是工作 。
that's 23 times the global average .	這是全球暖化的數字 。
i loved it , but it didn't work .	我覺得很棒 , 但它不可思議 。
the dinosaurs had a really bad day .	亞馬遜的日子是很棒的 。
victory was a very weird feeling .	愛滋病患者是很棒的 。
and i went to bed every night thinking about it .	我每天都在想什麼 。
they didn't get very far , obviously .	他們不可思議 。
this is the cubestormer ii .	這是我所謂的 。
you were separated from your family by the state .	你在你的國家裡 。
the building was finished in 1983 .	在1977年 , 設計師們 。
we didn't create jobs for our youth .	我們沒有工作 。
all of these people , one profession .	所有人都知道 。
my mother wanted me to be a dentist .	我媽媽媽媽媽媽媽媽媽媽媽媽 。
and i hope she's somewhere safe .	我希望她能做到這一點 。
so , first of all , it's really fun .	所以 , 首先 , 一切都很棒 。
say your motorcycle crashes .	請你說: 「 嗨 , 天文學家 。
that's how you create a collective goal .	這就是你所需要的設計方式 。
do you want to let it loose on the internet ?	你想把你的手機放到網路上 ?
how many of you won just won thumb ?	你多少人都知道嗎 ?
the taliban now run their own schools .	學校裡 , 她們的孩子們 。
and like anything else listen , it takes resources .	聽起來聽起來 , 聽起來 。
he wants to clunk me over the head !	他想把我帶回來 。
and we can do that for another neuron in green .	我們也可以把基因組成一個基因 。
this is an image of rain in motion .	這張圖片的照片 。
i'm human . i make mistakes .	我是人類的 , 我不會感到驚訝 。
and those distributions grow .	而這些人都在成長 。
so malaria is a disease that kills you .	所以 , 血管是白人 。
so this is a small crank generator .	這是個小小的小小小小 。
turns out ants are pretty good at this .	結果是如此 。
this is if there was an issue on the pad .	如果這是一個問題 。
his name is adam rifkin .	他的名字叫白色 。
you should have seen my parents' reaction !	你們知道我的孩子們 , 你的眼睛 。
but there were other novelties as well .	但還有其他其他其他地方 。
we're not trying to control polio .	我們沒有辦法控制自己的行為 。
and i wanted to deal with other subjects .	我想要和其他其他人分享 。
this one is called the netherlands .	這個叫做 「 綠色 」 。
and are you yawning right now ?	現在 , 你現在現在是誰嗎 ?
yeah , we'll have to work on that .	嗯 , 我們應該要做些事 。
and it's not for lack of trying .	不是這樣做的事 。
and they're incredible guys .	而且他們是很棒的 。
and then there is static apnea .	接著 , 這裡有一系列 。
some people broadcast the whole time .	有些人知道 , 有一天 , 都發生了 。
so it was a world without grandparents .	所以 , 世界各地都沒有任何人 。
they grow 10 meters long ; some say bigger .	他們成長了超過30% , 更高興 。
this is data actually on the consolation behavior .	這是數據的數據 。
this is how they divide classrooms .	這就是他們所謂的學生 。
and it's the same thing with coding .	還有其他其他東西 。
the big one is to be not afraid .	最棒的是 , 沒有任何人 。
and i looked at word analysis .	我看到這張圖片 。
we cannot afford to take that chance .	我們不需要去做些事 。
my story is the power of a metaphor .	我的意思是 , 宇宙的力量 。
this is how it looked like about six years ago .	這張照片是2007年 。
well , it turns out , quite a lot .	嗯 , 嗯 , 很快 。
whose son shall it be ?	誰是誰 ?
now , to the satellites things .	現在 , 咱們要做些什麼 。
and all i could detect was this energy energy .	所有的能量 , 能量是能量 。
1959 , ok and the month ?	1997年 , 亞歷山 ?
it's complete security theater .	它是很棒的 。
so that's what we're going to do .	這就是我們要做的事 。
i mean , it could have been otherwise .	我的意思是 , 任何人都能做到 。
so much has happened since the last time i seen you .	所以 , 過去的幾年後 , 我看到了 。
what an odd choice for powerful man to make .	自由的選擇 , 要讓男人變得更好 。
i can call 911 for you and send help .	我可以告訴你們: 「 請你幫忙 。 」
in angola or afghanistan .	在阿拉伯 , 亞洲 。
they do lots of inconsistent things .	他們有多樣性 。
but for our cities , we've been stuck .	但 , 我們在城市裡 , 城市裡 , 一切都發生了 。
my team lost ; the national coach walked away .	我的家鄉 , 國際地點 。
chris anderson: did you touch it ?	克里斯·安德森:你問了你嗎 ?
each module could do things with a pattern .	每一分子都能做些什麼 。
i did what many girls and women learn to do .	我學到了很多女人 。
the city called me and asked if our technology could help .	如今 , 我稱之為 「 解決方案 」 的問題 。
and by the way , it's continued to .	順便說 , 它的確是如此 。
develop and save more of you now for later in life .	農業成長率 , 拯救我們的生活 。
pause now to figure it out for yourself .	現在 , 要讓大家想像一下 。
what if i had told her my story years ago ?	如果我記得我的故事 , 當時我的故事 。
so the most important thing is integrity .	所以 , 最重要的是最重要的 。
almost 24 million people have diabetes .	超過40000萬人 。
but to me , things aren't the future .	但 , 讓我說 , 未來的未來 。
ok , so that was a massive failure .	嗯 , 嗯 , 這是個很棒的 。
ws: and done ! ok , good job !	喔 ! 喔 ! 喔 ! 喔 ! 很棒 !
gc: after last night , not for a while .	克里斯:喔 , 夜晚上 , 沒有一天 。
and so it came to me in waves .	所以 , 把我帶到那裏 。
so what if you've targeted cells ?	所以 , 如果你要做些什麼呢 ?
you're really left alone with your own thoughts .	你是唯一的 , 就是你所想的 。
to climate change that would be like kyoto .	氣候變遷是全球化的 。
and i said , " am i asexual now ?	我說: 「 好嗎 ?
did anyone see " lost in translation " ?	有人說: 「 什麼都沒有發生 ? 」
and that's the role of the presenter .	這也是一系列的 。
how will you cook your chicken now ?	你要怎麼做 ?
so i resolved to give more .	所以 , 我會更加強大 。
you know , one word: tunisia .	你們知道: 「 嗯 , 哈囉 。
to , " could we have done something about it ? "	「 嗯 , 我們需要做些什麼 ? 」
yes , he probably had ongoing depression .	嗯 , 嗯 , 他會說 , 他是個很棒的主意 。
now to the second potential misunderstanding .	現在 , 第二個問題是 , 要阻止這一點 。
there are two billion young people between 15 and 30 .	大約有超過三十萬人 。
sever his spine at the neck .	他的臉書館 。
now , what is the beauty in it ?	現在 , 到底是什麼呢 ?
uh , sure , that'd be great .	嗯 , 嗯 , 很幸運 。
you don't just zip right into it .	你不用擔心它 。
so , what does that precision buy us ?	那麼 , 到底是什麼 ?
we are going to use it in and around humans .	我們必須把它們帶到人類身上 。
here's a human heart at 25 days .	這裡有五十億人 。
the problem was solved in less than a day .	問題的問題是 , 每天都沒有一天 。
what causes recessions ?	到底是什麼樣子 ?
is it nurture or is it nature ?	它是自然的 , 對吧 ?
it's even smaller in scale .	它甚至只是一個小小的例子 。
the world has other universal languages .	世界各地都有語言 。
the farmers were overjoyed .	全世界的農業都很高 。
this is one of the most beautiful things i know .	這是我最喜歡的事物之一 。
forge meaning and build identity .	例如說 , 創造力 , 創造力 。
so , how could we make better sense about this ?	那麼 , 我們要如何做些什麼 ?
it started as a means of selfexpression .	它變成了 「 自我 」 的行為 。
so on large scale what do they use ?	所以 , 世界上有多少東西 , 是什麼樣子 ?
now , we started working together 18 months ago .	現在 , 我們開始了幾個月 。
and three , don't leave before you leave .	第三 , 不要再回來 。
the final movement is called mounds .	下一個字是 「 嗡 」 的 。
these are the two factors that always come out .	這兩件事是 , 每次都發生了 。
that's why it's on the street .	這就是為什麼在街道上 。
well , good news . we got the time .	好消息 , 我們就準備好了 。
and costa rica's not alone .	綠色是不是的 。
which is why orion has weapons .	這就是為什麼 , 我們的權力 。
some even said i had a political motive .	有些人會說 , 我是個政治家 。
so we've got big cost challenges here .	所以 , 我們必須解決這個問題 。
and this makes sense , of course , right ?	這樣做 , 真的很棒 , 對吧 ?
so i have not come here to complain .	所以 , 我不需要再一次 。
but i hope you see where we're going .	但我希望你們能看到這一點 。
ghana felt safe to me as a child .	克里斯·安德森:我覺得我的孩子 。
what i saw was my teachers coming through me .	我看到了我的孩子 。
oh , that's awesome !	喔 ! 喔 ! 喔 !
let me talk about " hamlet . "	咱們說: 「 好吧 。 」
i was like , this is gorgeous .	我是說 , 這是很棒的 。
i started my journey 30 years ago .	我從200年前開始了 。
you need to go get an hiv test . "	你需要做些好事 。 」
there is so much information ; what do you do ?	所有人都能做些什麼呢 ?
where have they come from ? where are they going ?	他們在哪裡 ? 哪裡 ?
can we make a hat into a toy ?	我們能將它變成一個小小嗎 ?
the only good thing in the box was hope .	唯一的錢是唯一的 。
because , in the meantime , kids are alone .	因為 , 例如 , 孩子們 。
two fires together , i get really hot .	四個小時 , 我很快地 。
if people knew how to overcome failure ?	如果有人問他們 , 誰會怎麼做 ?
aquecerse uckedfay .	法律師們 。
she's at a microfinance meeting .	她是個很棒的例子 。
so why are both known as goths ?	那為什麼我們知道 , 哪裡呢 ?
so i went back that very summer .	所以 , 我開始了 。
he forgives the general in this image .	他把這張圖片放到照片裡 。
he's out over the channel .	他在他的辦公室裡 。
can i believe in this this passionately ?	我相信 , 這種世界的權力呢 ?
is 100 one thing , 10 things or 100 things ?	什麼是 , 每十億人呢 ?
do that kind of stuff , have fun with it .	這樣做 , 一切都做得好 。
it's like a centrifuge .	這就像是美國人 。
but it's not just going to stop there .	但這一切都不會發生 。
it's always something in the distance .	它會發生什麼事 。
so it can't turn the genes on .	所以 , 它可以用基因的基因 。
they spring from the same source .	牠們會把它們帶回來 。
they'd like you to walk away from that .	它們會讓你走進去 。
i am the lifeforce power of the universe .	我是地球上的生命 。
that's the real important thing about safety .	這很重要的重要性 。
tbl: can you say " now " ?	克里斯:你說: 「 好吧 ? 」
and what we did over there was pretty much simple .	我們看到了很多有趣的事 。
there was a reason for that ; it was me .	唯一的原因是 , 我是唯一的 。
wow . that's a lot of you .	嗯 , 嗯 , 嗯 , 大家都知道 。
they were at peace with each other .	他們彼此彼此 。
how should we all respond ?	我們要怎麼做 ?
i was at that lake recently .	我真的很幸運 。
trees epitomize stasis .	樹木的動物都很高興 。
this has been going on for 40 years now .	這是過去五年來 。
but i struggle to translate .	但 , 我會把它們轉換成 。
let's start with the amazon !	咱們來了 。
and i said , " this can't happen .	我說: 「 嗯 , 沒錯 。
let's talk for a minute about these companies .	咱們來談談這些數據 。
now , this has consequences .	現在 , 這一切都會發生 。
