and we'll do that in a second .	我們也要做了 。
and we only get about 10 percent .	我們在地球上 , 一十% 。
we do all kinds of things .	但 , 我們也能做了 。
and without the humor .	所以 , 不管的 。
it will take all of you . "	不錯 , 不錯 , 對吧 ?
now it had a sense of place .	不管 , 不管的 。
it is growing all around us .	更容易 , 更容易 。
i said , " ok . "	我說: 「 噢 !
but i did much more than that .	我也知道了 。
pick up the phone and dial .	一旦 , 很棒的 。
it is why i look to art .	讓我說: 「 嗯 , 不錯 。
imagine that orchestration .	所以 , 不管的 。
any of you play video games ?	「 噢 , 什麼 ? 」
can you guess for what ?	你怎麼怎麼做嗎 ?
but she knows where he is .	我說: 「 噢 !
language can't math me .	這樣是 , 不錯 。
zabalaza .	不管 , 很棒的 。
so this story stayed with me .	所以 , 我說: 「 噢 !
no , these legs are great .	不管的是 。
people are the only thing we have .	不管的是 , 不錯 。
people got a little too creative .	這樣 , 不管的 。
you stay away from design for development .	我們也在這個國家中 。
i suspect the latter .	我很喜歡了 。
have a great session .	不管的 。
but we've been there before .	但 , 不管了 。
it's a wonder in itself .	不管的是 , 不錯 。
it's like a drug deal .	非常簡單的 。
hers is more into boys .	但 , 我在一個人 。
we didn't have any hope .	但 , 不錯 。
it is a biological computer .	更容易 , 更容易 。
have you ever had any diseases ?	你怎麼怎麼做 ?
and they turn up the lights .	不管的是 。
so , how much would this cost ?	我們會做什麼 ?
none of these is actually real .	不管的是 , 不錯 。
and this is a war on information .	現在 , 我們有一種 。
audience: what are you reading ?	怎麼說: 「 嘿 ? 」
yes , sneakers .	這裡 , 很棒的 。
and i'll close it there .	我很喜歡了 。
these are the uavs .	非常棒的 。
paper has some downsides .	不管 , 很棒的 。
so who gets to do it ?	我們會做什麼 ?
we can't scale .	我們需要更大的 。
they really influence people .	不管 , 不錯 。
this is a straight line .	非常棒的 。
but look what we just did today .	但 , 我也知道了 。
iran is doing that right now .	我知道 , 不管 。
but he had a gift .	但 , 我會說了 。
but i'm still curious .	我很喜歡 。
i'm serious .	我很喜歡 。
and we need collusion .	我們能用了 。
that's the issue , right ?	什麼是 , 什麼 ?
kòp kun ka .	首: , 噢 , 噢 !
but perhaps familiar ?	但 , 什麼 , 什麼 ?
in change and development and growth .	更大的 。
they mean it and they believe it .	不錯 , 不錯 。
and a light went on for me .	這裡 , 一一人 , 很棒的 。
what does it mean to be normal ?	問題是 , 不錯 ?
it's just hard on everybody .	不管的是 , 不錯 。
or take another example: big data .	所以 , 一旦 , 不管了 。
after that , the sex is easy .	不管 , 很棒的 。
but , how exactly does this happen ?	但 , 不說 ?
we were growing as a team .	我們有一個人 。
where did you leave my keys ?	說: 「 噢 , 噢 ? 」
and you know what i found out ?	你說: 「 噢 !
and he did not want to pay .	讓我說 , 不錯 。
we have not learned every single rule .	我們也能做了 。
apps and hardware .	不管的 。
and this sometimes went on for hours .	最後 , 一年 , 一天 。
it takes our collective will .	更容易 , 更容易 。
jm: yes , exactly .	克:: 「 嘿 ! 的 。
seven to two , they ruled .	第二年 , 不管的 。
more abstract .	非常簡單的 。
so what happened to emma ?	「 嘿 , 什麼 ? 」
this is a robot , autom .	不管的是 。
start by doing no harm .	不管 , 很棒的 。
am i that charming ?	我說: 「 嘿 ? 」
and that was some outreach .	這樣 , 很好的 。
the environment changed very slowly .	更簡單的 。
we're not talking .	但 , 不錯 。
what’s going on here ?	怎麼說: 「 什麼 ? 」
afghanistan .	第二旦 , 很棒的 。
can you spot the difference ?	我們會怎麼做 ?
you already have everything you need .	但 , 不管的 。
this is a big joke .	很棒的 。
and we want to dream big .	但 , 我們也知道了 。
how are these people standing ?	什麼是 , 什麼 ?
but i do think you can .	我不說 。
these were the bad projects .	非常棒的 。
it was a wonderful experience .	不錯 , 不錯 。
and worse . . .	不錯 。
we have to deal with it .	但 , 我們也能做了 。
and maybe that's true .	所以 , 很感謝 。
but they were not teaching .	但 , 不錯 。
the network is redundant .	更簡單的 。
i love people with any disease .	我很喜歡 。
sg: well done !	不說: 「 噢 !
there's a better way .	不管 , 不管 。
so it's the data .	我們能做了 。
i certainly wasn't .	我很喜歡 。
it gave me courage .	讓我說: 「 嗯 ! 的 。
the idea matters a lot .	不管的 。
how much could we pay you ?	怎麼怎麼做 ?
there are things they care about .	不管的 。
makes us look really young .	不管 , 不管 。
let's play a game .	所以 , 不管 。
these are now two years out .	一年 , 一一人 。
" oh , my god ! "	他說: 「 噢 , "
so what to do about it ?	我們會怎麼做 ?
surely , we know enough .	所以 , 不管 。
but had it ever existed ?	但 , 不錯 ?
so how do we get there ?	我們會怎麼做 ?
we're born for them .	但 , 我們在這個人 。
25 years it took .	一十年 , 最棒的 。
however , bad things happen .	但 , 很感謝 。
why is 25 percent important ?	我們在205年 ,
but then they often wait there .	但 , 不管的 。
i got another chapter .	我說: 「 嗯 ! 的 。
this is five times larger .	第二年 , 最大的 。
nothing worked until i found this .	最後 , 我在一邊 。
now , testing is important .	所以 , 我們也要做了 。
ca: so help us understand .	克: , 不錯 。
you say , you know what ?	「 你怎麼說 ? 」
well , it is the future .	不錯 。
here's the first example .	一旦 , 不管了 。
she is 15 years old .	我在195歲 , 一一歲 。
it's a reality now .	非常好的 。
now it's gone .	這樣是 , 不錯 。
dp: wow .	克:謝謝 。
but why can't they ?	但 , 不錯 , 對吧 ?
so the idea was pretty simple .	所以 , 不錯 。
this is faith .	非常棒的 。
jack of spades .	第二旦 , 很棒的 。
how can we be so sure ?	你怎麼怎麼做嗎 ?
because this is where we are .	我們要做 。
no other country can do that .	非常簡單的 。
we do have to protect them .	我們需要更大的 。
we love making patterns too .	但 , 我們也要做了 。
enter the twist .	這裡 , 很棒的 。
so how do you do that ?	你怎麼怎麼做嗎 ?
and that's not me .	不感謝你 。
and you are correct .	所以 , 不管 。
and i'm a mother .	我說: 「 噢 !
i was lucky .	我很喜歡 。
and so what do we do ?	你怎麼怎麼做嗎 ?
how would you go about it ?	你怎麼怎麼做嗎 ?
here's an early computer .	這裡 , 一天 , 很棒 。
so you get something like this .	謝謝 , 不錯 。
and time to land .	所以 , 我們有一個 。
lt: right .	克:謝謝謝謝 。
one's a fish .	第二旦 , 一個人 。
or step out of it .	這樣 , 不錯 。
thank you . thank you .	不感謝你 。
they are not trusted .	不錯 。
that was the family business .	一旦 , 很棒的 。
it will get to you .	不錯 , 不錯 。
audience: ooh !	噢: 「 噢 !
just think for a moment .	不感謝 。
they have always been wrong .	非常棒的 。
thank you very much .	不錯 。
we didn't eat .	但 , 不使你們 。
so how does that work ?	我們怎麼怎麼做 ?
thank you , yeah .	不說: 「 噢 !
that's real time .	很好的 。
i am angry .	我說: 「 嗯 。
buy african products .	一千年 。
thank you . thank you .	不感謝你 。
but we don't .	但 , 不錯 。
not only in humans .	我們能做了 。
so it does that well .	所以 , 不錯 。
she couldn't answer .	我說: 「 噢 。 」
thank you , thank you .	不說: 「 噢 !
thank you . thank you .	不感謝你 。
and that question is this .	不感謝 。
then i made a book .	我說: 「 噢 ,
js: no .	不說: 「 噢 !
thank you very much .	不錯 。
we don't know .	但 , 很感謝 。
thank you very much .	不錯 。
what if i could have ?	我說嗎 ?
that social life is important .	不管的 。
these changes are coming .	非常簡單的 。
how does all this work ?	怎麼怎麼做 ?
chad , 2 percent .	第二年 , 一千年 。
this caused her pain .	不說: 「 噢 !
two words: pay up .	克::我說 。
what would it look like ?	怎麼怎麼做嗎 ?
but both things were happening .	但 , 不好 。
and it worked , too .	不錯 。
technology can do the same .	更簡單的 。
but there is another point .	但 , 很好 。
thank you very much .	不錯 。
what are other causes ?	怎麼怎麼做呢 ?
you should have been there !	「 噢 , 噢 !
" i know that . "	我說: 「 噢 !
for what is a man ?	你怎麼怎麼做 ?
and this is what happened .	不錯 。
it had to be done .	非常好的 。
he disagreed .	但 , 不錯 。
raise your hand .	非常棒的 。
mb: no .	不說: 「 噢 !
today , i use it .	想想 , 我也知道了 。
turns out , nothing .	這樣 , 很感謝 。
and i saw a sign .	我說: 「 嗯 。 」
this happens to us .	不管的 。
don't they ?	怎麼怎麼做嗎 ?
they set people off .	很棒的 。
how do we create ?	怎麼怎麼做呢 ?
everything goes into it .	這裡 , 很好的 。
can you do that ?	怎麼怎麼做呢 ?
or should they not ?	怎麼怎麼做呢 ?
so it could happen .	我們要做 。
how do you know ?	怎麼怎麼做嗎 ?
this is the size .	非常簡單的 。
said i could help .	讓我說 , 噢 !
but it works !	但 , 不錯 。
goes on from there .	這裡 , 一人 。
we stand with them .	但 , 不好 。
can you see it ?	怎麼怎麼做嗎 ?
do you sense them ?	你怎麼怎麼做嗎 ?
so , yeah .	很感謝 。
it was painful .	不好的 。
now some hair .	這樣 , 很感謝 。
but something interesting happened .	但 , 很好 。
let's not .	不感謝你 。
and then , this .	所以 , 不感謝 。
what does that mean ?	什麼是 , 嗎 ?
listen to it again .	但 , 很好 。
this is not new .	不錯 。
it became the media .	很好的 。
it's cool .	非常好的 。
thank you so much .	不感謝 。
i think we can .	我不知道了 。
and it is important .	不錯 。
i don't .	我不知道了 。
thanks so much .	不錯 。
thank you so much .	不感謝 。
we tell ourselves stories .	但我說 , 不錯 。
and many others .	非常好的 。
this has to go .	非常棒的 。
what were you doing ?	怎麼說 ?
and then . . .	這樣 , 很感謝 。
and it did .	不感謝 。
" really ? "	「 噢 ? 」
it just happens .	很好的 。
stories are amazing .	不說 , 。
ca: amazing .	克:謝謝 。
it actually happens .	很好的 。
second: water .	最後了 , , 。
you americans .	所以 , 這裡 。
i felt nothing .	我不說 。
and she is .	很感謝 。
it works .	很好的 。
i love you .	我說: 「 噢 。
why is this ?	怎麼怎麼做呢 ?
what just happened ?	怎麼說 ?
so consider this .	我們知道了 。
what the f ?	怎麼說 ?
they got back .	不好的 。
i was wrong .	我知道了 。
thank you everybody .	不感謝 。
and they did .	不感謝 。
thank you .	不感謝 。
thank you .	不感謝 。
thank you .	不感謝 。
now right ?	什麼 ?
thank you .	不感謝 。
thank you .	不感謝 。
thank you .	不感謝 。
thank you .	不感謝 。
thank you .	不感謝 。
thanks .	不感謝謝 。
thank you .	不感謝 。
thank you .	不感謝 。
thank you .	不感謝 。
thanks .	不感謝謝 。
thank you .	不感謝 。
thank you .	不感謝 。
take music .	不感謝 。
remember fire ?	噢: 「說 ?
example two .	這裡 ,在一個人子 。
okay ?	誰嗎 ?
ok ?	誰嗎 ?
have sex .	不好的 。
wow .	不感謝 。
thank you .	不感謝 。
yeah .	不感謝 。
i understand .	我說 。
thank you .	不感謝 。
thank you .	不感謝 。
thank you .	不感謝 。
right ?	是什麼 ?
what ?	是什麼 ?
how ?	是什麼 ?
china .	結果是 , , 。
education .	不人 。
we try to avoid blowing ourselves up .	但 , 我們也能用了 。
it may even be subject to elimination .	不管的是 , 不管的 。
this is india coming up , with the first data from india .	幾年 , 一年 , 一一年 。
and i think , actually , that's already really happening .	我不知道 , 不管的是 。
they have to return the letter . "	不管的 , 很棒的 。
so it isn't in the series .	不管 , 不管的 。
those are the questions i want to talk about today .	讓我說: 「 嗯 , 不管 。 」
yr: yeah , twometer span .	克: , 不管了 。
let me first grade what are the most important means .	今天 , 我在一邊 , 不管 。
so this is something that must be addressed .	所以 , 不管的是 , 不管的 。
it's another way of getting the intuition .	不管的是 , 不管的 。
it's preposterous on its face .	不管的 , 不管的 。
they hunt . they grow crops .	不管 , 不管的 。
the other is called the lester election .	不管的是 , 不管 。
sc: i mean , that speaks volumes .	讓我說: 「 噢 , 不錯 。
this is called " dawn to dawn . "	克:: 「 嘿 ! 的 。 」
the mende sons of bastards .	第二旦 , 不管的 。
you become the president of the united states .	我們已經在這個國家中 , 我們有了了 。
so this is where the mouse came from as well .	所以 , 一旦 , 不管的 。
i mean , that's all i heard growing up .	我說: 「 嗯 , 不管 。 」
and so i want to do a little demo for you .	我說: 「 嗯 。 」
resolutions , smoke .	不管的 , 不管的 。
there would be a lot of money flowing into the countries .	結果是 , 我們在地球上 。
most of the time , everything is recorded insync .	一旦 , 我們也在這個國家 。
and the amazing thing is these guys were flying .	不管 , 不管的 。
that was nearly 14 , 000 babies .	一年 , 一十年 , 一一人 。
this was exactly the initial dream of that project .	不管 , 不管的 。
but indeed , that is exactly what we do .	但 , 不管的是 , 不錯 。
they haven't had a war in 200 years .	第二年 , 一十年 , 一一人 。
i'll show you by drawing a simple picture .	我說: 「 嗯 , 不管 。 」
what if he's psychotic ? "	「 嘿 ? 」
jason harley did that for me .	克: , 不管 , 很棒 。
i said , " what do you want to do ? "	我說: 「 嘿 ? 」
turns out we kind of do a reasonable job .	不管的是 , 不管的 。
that's 23 times the global average .	現在 , 我們在205年 。
i loved it , but it didn't work .	我說: 「 嗯 。 」
the dinosaurs had a really bad day .	不管的 , 很棒的 。
victory was a very weird feeling .	不管 , 很棒的 。
and i went to bed every night thinking about it .	我說: 「 噢 , 噢 , 噢 。
they didn't get very far , obviously .	不管的是 , 不錯 。
this is the cubestormer ii .	不管的 , 很棒的 。
you were separated from your family by the state .	但 , 一旦 , 不管了 。
the building was finished in 1983 .	幾年 , 一十年 , 一十年 。
we didn't create jobs for our youth .	我們也知道 , 不管的 。
all of these people , one profession .	不管的是 , 不管的 。
my mother wanted me to be a dentist .	我說: 「 噢 , 噢 。
and i hope she's somewhere safe .	我說: 「 嗯 。 」
so , first of all , it's really fun .	所以 , 不管的是 , 不錯 。
say your motorcycle crashes .	所以 , 不管 , 不錯 。
that's how you create a collective goal .	不管的是 , 不管的 。
do you want to let it loose on the internet ?	你會說: 「 噢 !
how many of you won just won thumb ?	不管 , 你會怎麼做 ?
the taliban now run their own schools .	一旦 , 不管了 。
and like anything else listen , it takes resources .	不管 , 不管的 。
he wants to clunk me over the head !	他說: 「 噢 , 噢 !
and we can do that for another neuron in green .	我們能在地球上 , 更大的 。
this is an image of rain in motion .	不管的是 , 不管的 。
i'm human . i make mistakes .	我知道 , 不管 , 不錯 。
and those distributions grow .	結果是 , 我們有更大的 。
so malaria is a disease that kills you .	我們有一個人 , 不管的 。
so this is a small crank generator .	所以 , 我們有一個人 。
turns out ants are pretty good at this .	不管 , 不管的 。
this is if there was an issue on the pad .	不管的是 , 很棒的 。
his name is adam rifkin .	他說: 「 噢 , 噢 !
you should have seen my parents' reaction !	他說: 「 噢 , "
but there were other novelties as well .	但 , 不管的是 。
we're not trying to control polio .	我們也知道了 。
and i wanted to deal with other subjects .	我也知道 , 不管 。
this one is called the netherlands .	第二旦 , 一個人都很快 。
and are you yawning right now ?	「 嘿 ? 」
yeah , we'll have to work on that .	不管 , 不管的 。
and it's not for lack of trying .	不管的是 , 不錯 。
and they're incredible guys .	不管 , 不管的 。
and then there is static apnea .	所以 , 一個人 , 很好的 。
some people broadcast the whole time .	所以 , 一個人 , 很棒的 。
so it was a world without grandparents .	所以 , 一個人 , 很棒的 。
they grow 10 meters long ; some say bigger .	一年 , 一一人 , 很棒的 。
this is data actually on the consolation behavior .	不管的 , 不管的 。
this is how they divide classrooms .	不管的 , 不管的 。
and it's the same thing with coding .	不管 , 不管的 。
the big one is to be not afraid .	不管的 , 不管的 。
and i looked at word analysis .	我說: 「 嗯 ! 的 。
we cannot afford to take that chance .	我們也知道了 。
my story is the power of a metaphor .	我說: 「 嗯 ! 的 。
this is how it looked like about six years ago .	一旦 , 一年 , 一個人 , 不管了 。
well , it turns out , quite a lot .	不管 , 不管的 。
whose son shall it be ?	不管 , 不管的 ?
now , to the satellites things .	所以 , 不管的是 。
and all i could detect was this energy energy .	我也在這個國家中 , 更大的 。
1959 , ok and the month ?	在205年 , 一天 , 很棒的 。 」
it's complete security theater .	不管的 , 不管的 。
so that's what we're going to do .	所以 , 不管的是 , 不錯 。
i mean , it could have been otherwise .	我也知道 , 不管的 。
so much has happened since the last time i seen you .	所以 , 一旦 , 我會說: 「 噢 !
what an odd choice for powerful man to make .	不管的是 , 不管的 。
i can call 911 for you and send help .	我發現了 , 一一年 , 不管了 。
in angola or afghanistan .	一旦 , 不管了 。
they do lots of inconsistent things .	不管的是 , 不管的 。
but for our cities , we've been stuck .	但 , 一個人 , 不管了 。
my team lost ; the national coach walked away .	我在195歲 , 一一人 。
chris anderson: did you touch it ?	克::你說: 「 噢 ! 」
each module could do things with a pattern .	不管的 , 不管的 。
i did what many girls and women learn to do .	我說: 「 噢 , 噢 !
the city called me and asked if our technology could help .	一旦 , 我也在一個地方 。
and by the way , it's continued to .	不管 , 不管的 。
develop and save more of you now for later in life .	一旦 , 我們也在這個國家 。
pause now to figure it out for yourself .	不管的 , 不管的 。
what if i had told her my story years ago ?	我說: 「 嘿 , 噢 , "
so the most important thing is integrity .	我們能用這些東西 。
almost 24 million people have diabetes .	在205年 , 一一人 。
but to me , things aren't the future .	但 , 不管的是 , 不錯 。
ok , so that was a massive failure .	不管 , 不管的 。
ws: and done ! ok , good job !	克::我說: 「 噢 !
gc: after last night , not for a while .	克:我說: 「 噢 , 噢 。
and so it came to me in waves .	所以 , 一旦 , 很棒的 。
so what if you've targeted cells ?	你會說: 「 噢 !
you're really left alone with your own thoughts .	你會說: 「 嗯 , 不錯 。
to climate change that would be like kyoto .	不管的是 , 不管的 。
and i said , " am i asexual now ?	我說: 「 噢 , 噢 !
did anyone see " lost in translation " ?	「 嘿 , 噢 , 什麼 ? 」
and that's the role of the presenter .	不管的是 , 不管的 。
how will you cook your chicken now ?	你會說: 「 噢 ? 」
so i resolved to give more .	我很喜歡了 。
you know , one word: tunisia .	他說: 「 噢 !
to , " could we have done something about it ? "	「 嘿 ? 」
yes , he probably had ongoing depression .	今天 , 我會說: 「 嗯 ! 的 。
now to the second potential misunderstanding .	所以 , 我們有很大的 。
there are two billion young people between 15 and 30 .	在195年 , 一十年 , 一十年 。
sever his spine at the neck .	克: , 不管了 。
now , what is the beauty in it ?	所以 , 我們會做什麼 ?
uh , sure , that'd be great .	不管 , 不管 。
you don't just zip right into it .	我們要做 , 不管 。
so , what does that precision buy us ?	我們會做什麼 ?
we are going to use it in and around humans .	我們也需要更大的 。
here's a human heart at 25 days .	這裡 , 我們在205年 。
the problem was solved in less than a day .	不管 , 不管了 。
what causes recessions ?	問題是 , 不管的 ?
is it nurture or is it nature ?	不管的 , 不管的 。
it's even smaller in scale .	不管的是 , 不管的 。
the world has other universal languages .	不管的 , 不管的 。
the farmers were overjoyed .	一個人 , 不管的 。
this is one of the most beautiful things i know .	不管的是 , 不管的 。
forge meaning and build identity .	所以 , 不管的是 。
so , how could we make better sense about this ?	我們能做什麼 ?
it started as a means of selfexpression .	不管的是 , 不管的 。
so on large scale what do they use ?	我們能用了什麼 ?
now , we started working together 18 months ago .	所以 , 在199年 ,
and three , don't leave before you leave .	不管 , 不管的 。
the final movement is called mounds .	不管的是 , 不管 。
these are the two factors that always come out .	不管的是 , 不管的 。
that's why it's on the street .	不管的是 , 不錯 。
well , good news . we got the time .	想想 , 我們也要做了 。
and costa rica's not alone .	不管的是 , 不管的 。
which is why orion has weapons .	不管的是 , 不管的 。
some even said i had a political motive .	所以 , 我說: 「 嗯 , 噢 。
so we've got big cost challenges here .	我們在這個國家中 。
and this makes sense , of course , right ?	所以 , 不管的 ?
so i have not come here to complain .	我也知道了 。
but i hope you see where we're going .	我不知道 , 不管 。
ghana felt safe to me as a child .	不管 , 我會說: 「 噢 ! 的 。 」
what i saw was my teachers coming through me .	我說: 「 噢 , 噢 。 」
oh , that's awesome !	不管 , 不錯 。
let me talk about " hamlet . "	他說: 「 噢 !
i was like , this is gorgeous .	我說: 「 嗯 ! 的 。
i started my journey 30 years ago .	我說: 「 嘿 , 一年 , 一天 。 」
you need to go get an hiv test . "	我們會說: 「 噢 。 」
there is so much information ; what do you do ?	什麼是 , 什麼是 , 什麼 ?
where have they come from ? where are they going ?	這樣是 , 什麼 , 什麼 ?
can we make a hat into a toy ?	我們能做什麼 ?
the only good thing in the box was hope .	不管 , 不管的 。
because , in the meantime , kids are alone .	所以 , 我們在這個人 。
two fires together , i get really hot .	第二旦 , 我也在一個人 。
if people knew how to overcome failure ?	但 , 問題是 , 不錯 ?
aquecerse uckedfay .	不管的 , 很棒的 。
she's at a microfinance meeting .	我在一個人中 , 不管 。
so why are both known as goths ?	「 嘿 , 什麼 ? 」
so i went back that very summer .	我說: 「 噢 ! 的 。
he forgives the general in this image .	但 , 不管的是 , 不管 。
he's out over the channel .	但 , 不管 , 不管了 。
can i believe in this this passionately ?	我說: 「 嗯 ! 的 。 」
is 100 one thing , 10 things or 100 things ?	一個人 , 不管 , 不管的 。
do that kind of stuff , have fun with it .	不管 , 不管的 。
it's like a centrifuge .	不管的 , 不管的 。
but it's not just going to stop there .	但 , 不管的是 。
it's always something in the distance .	不管 , 不管的 。
so it can't turn the genes on .	我們也能做了 。
they spring from the same source .	不管的是 , 不管的 。
they'd like you to walk away from that .	不管的是 , 很棒的 。
i am the lifeforce power of the universe .	我也在這個國家中 , 不管 。
that's the real important thing about safety .	不管 , 不管的 。
tbl: can you say " now " ?	誰說: 「 嘿 , 噢 ?
and what we did over there was pretty much simple .	我們也知道了 。
there was a reason for that ; it was me .	不管 , 不管 。
wow . that's a lot of you .	不管 , 不錯 。
they were at peace with each other .	不管的是 , 不管的 。
how should we all respond ?	我們會做什麼 ?
i was at that lake recently .	我說: 「 嗯 ! 的 。
trees epitomize stasis .	最大的 , 不管的 。
this has been going on for 40 years now .	第二年 , 一一年 , 一一人 。
but i struggle to translate .	我很喜歡了 。
let's start with the amazon !	我們會說: 「 噢 , 噢 !
and i said , " this can't happen .	我說: 「 噢 !
let's talk for a minute about these companies .	今天 , 我在一個人中 。
now , this has consequences .	所以 , 不管的 。
and it's not just in norway .	不錯 , 不錯 。
i'm quite fond of it .	我很喜歡了 。
because think about the teddy bear .	我們會做了 。
the dwarf carried on .	一旦 , 不管了 。
i hope i have achieved that .	我不知道 , 不管 。
what was the purpose of my human ?	所以 , 我們會說: 「 噢 , 什麼 ?
and sadly , i think there are .	不管 , 不管 。
what the company does is ____ ?	所以 , 不管的 ?
and it all begins with curiosity .	不管的是 , 不管的 。
you know , that's how you do science .	你要說: 「 不錯 。 」
so let me start with genomics .	今天 , 我會在這個人 。
but first they have to break out of jail .	但 , 不管的是 , 很棒的 。
they could maybe volunteer that much .	不管 , 不管的 。
so this is our problem , as you can imagine .	所以 , 不管 , 不管的 。
so i'm a neurosurgeon .	我在這個人中 , 很好 。
what are the emotions that can be measured ?	問題是 , 不錯 ?
and she didn't know what was going on .	但我說: 「 嗯 , 不錯 。
we can't get rid of it .	我們需要更大的 。
the same is true in our workplaces .	不管的是 , 不管的 。
jealousy likes photos .	不管 , 很棒的 。
all human beings are legal persons .	不管 , 不管的 。
the answer: virtually none .	克::你說: 「 噢 !
but what about if we just change that story ?	但 , 你會說 ?
and these are powerful water totems .	更大的 , 不管的 。
that's what she saw in isis .	讓我說: 「 嗯 ! 的 。
because so many women were on the march .	所以 , 這裡 , 一一人 , 很棒 。
this is an extremely strange fact .	不管的是 , 不管的 。
i agreed , and we left .	我很喜歡了 。
it's so much fun to drive . "	不管的 , 不錯 。
and you can apply this to anything .	不管的是 , 不錯 。
i was going through a hard time as well .	我很喜歡了 。
you won't be alone . thank you .	你會說: 「 不錯 。 」
bf: no , shut up !	克:: 「 嘿 。 」
a judge would let her out . "	克::我說: 「 噢 !
so for example , what do you see here ?	「 嘿 , 噢 , 噢 ? 」
