and we'll do that in a second .	我們在這裡的一件事 。
it's called predeath .	很棒的 。
and it finally happened , so . . .	首先 , 咱上 。
so let's recap .	想像一下 。
a lot of models come from science .	科學家的研究 。
that is my grandfather .	這是我所謂的 。
it's definitely happy .	它是很大的 。
this is the world that we live in .	這是我們所做的 。
and very , very difficult times .	嗯 , 很棒的 。
i guess it's enough .	我很喜歡它 。
they sell off the assets .	他們會把它們更快 。
so i do think this is a problem .	我認為 , 我認為 , 我認為這件事 。
we had some court cases .	我們有了一件事 。
this is one piece of good news .	這是個例子 。
and here we go . here we go .	咱上 , 我們看到了 。
but your health decisions are the same .	但 , 人們有健康的行為 。
but let's try to imagine this .	但 , 我們想談一下 。
and it took this picture of earth .	這裡 , 地球上 , 地球上 。
audience member 4: two .	說: 「 喔 , 天啊 !
audience: yeah , you know me !	說: 「 喔 , 喔 , 喔 !
are we soaking up that story ?	我們要做什麼事呢 ?
one is the nature of the technology itself .	結果是 , 改變了 。
then come convulsions .	所以 , 大部份 。
and then the polishers come .	所以 , 他的家人 。
clearly , it always lived there .	不幸的是 , 不管是很好的 。
imagine how fiddly that is .	想像一下 , 咱們是這樣的 。
they treated me like i was nothing .	他們的身體 , 不管 , 不管 。
we call them bastards .	我們有了一群人 。
more data allows us to see new .	地球上 , 我們需要改變 。
you succeed or fail quickly .	你知道 , 不管 , 不管 。
sometimes we just like the perks .	想像一下 , 我們有了一件事 。
how did we get here ? what happened ?	我們要如何做什麼呢 ?
that was the whole earth catalog .	地球上 , 地球上 。
people thought that was crazy .	答案是 , 很糟糕 。
so it's ingesting .	所以 , 這裡的一部分 。
af: absolutely . absolutely .	克:謝謝謝謝 。
vladimir: godot .	哈哈斯:謝謝 。
it's easy to fool ourselves .	不管 , 不論是如此 。
you can start painting on any wall .	你可以看到 , 你的眼睛 。
and you know why they have a design ?	你知道嗎 ?
so why might it be hard to find ?	所以 , 你知道這是什麼 ?
why not you , why not you ? "	為什麼你不知道嗎 ?
it really involves many different areas .	它是非常複雜的 。
i want to start by doing an experiment .	我想看看這個故事 。
we need to be less predictable .	我們需要改變 。
and we only get about 10 percent .	我們需要超過1億美元 。
we do all kinds of things .	我們都需要改變了 。
and without the humor .	不管 , 不管 。
it will take all of you . "	不管你會說: " 喔 !
now it had a sense of place .	結果是 。
it is growing all around us .	這是我們所需要的 。
i said , " ok . "	我說: 「 喔 !
but i did much more than that .	但是我知道了 。
pick up the phone and dial .	每天有一半 。
it is why i look to art .	這是我所想的 。
imagine that orchestration .	想像一下一件事 。
any of you play video games ?	你看到了嗎 ?
can you guess for what ?	你知道嗎 ?
but she knows where he is .	但他說了 。
language can't math me .	不管 , 很糟糕 。
zabalaza .	哈哈斯斯 。
so this story stayed with me .	所以這就是我的故事 。
no , these legs are great .	不論 , 不論是很棒的 。
people are the only thing we have .	不管 , 我們的目標 。
people got a little too creative .	人們有了 。
you stay away from design for development .	你有一群的公司 。
i suspect the latter .	我很喜歡了 。
have a great session .	很棒的 。
but we've been there before .	但 , 我們有了一件事 。
it's a wonder in itself .	很棒的 。
it's like a drug deal .	它是非常大的 。
hers is more into boys .	她的父母媽媽媽 。
we didn't have any hope .	我們不需要這樣 。
it is a biological computer .	它是非常大的 。
have you ever had any diseases ?	你的身體 , 不管嗎 ?
and they turn up the lights .	把它們看出來 。
so , how much would this cost ?	所以 , 到底有多少人 ?
none of these is actually real .	不幸的是 。
and this is a war on information .	這裡是最大的 。
audience: what are you reading ?	誰說: 「 誰嗎 ?
yes , sneakers .	很棒的 。
and i'll close it there .	我很快了 。
these are the uavs .	它是最大的 。
paper has some downsides .	這裡 , 小小的小人 。
so who gets to do it ?	所以 , 誰會做什麼 ?
we can't scale .	我們不需要它 。
they really influence people .	她們是誰的 。
this is a straight line .	這張照片很棒 。
but look what we just did today .	但 , 今天 , 我們開始看看這個問題 。
iran is doing that right now .	我很興奮了 。
but he had a gift .	但他是很棒的 。
but i'm still curious .	但是我知道 , 這不是很棒的 。
i'm serious .	我很喜歡 。
and we need collusion .	我們需要更大的 。
that's the issue , right ?	這是個問題 , 對吧 ?
kòp kun ka .	哈哈斯.
but perhaps familiar ?	但 , 不管嗎 ?
in change and development and growth .	科技的改變 。
they mean it and they believe it .	他們不想知道 , 不論是如此 。
and a light went on for me .	所以 , 再吧 。
what does it mean to be normal ?	什麼是 , 誰是誰 ?
it's just hard on everybody .	不管是這樣的 。
or take another example: big data .	第二個例子:這就是一件事 。
after that , the sex is easy .	首先 , 不論是如此 。
but , how exactly does this happen ?	但 , 問題是什麼 ?
we were growing as a team .	我們有一群公司 。
where did you leave my keys ?	誰會說: 「 嘿 , 什麼 ?
and you know what i found out ?	你知道嗎 ?
and he did not want to pay .	不管 , 不論他們是誰的 。
we have not learned every single rule .	我們需要更好的孩子 。
apps and hardware .	很棒的 。
and this sometimes went on for hours .	每一天 , 每一天 , 孩子們 。
it takes our collective will .	我們需要更大的 。
jm: yes , exactly .	哈:謝謝謝謝 。
seven to two , they ruled .	六個月後 , 牠們有了 。
more abstract .	更大的 。
so what happened to emma ?	所以 , 到底是哪些 ?
this is a robot , autom .	這是個大型的例子 。
start by doing no harm .	首先 , 不論是很棒的 。
am i that charming ?	我喜歡了嗎 ?
and that was some outreach .	這真是很棒的 。
the environment changed very slowly .	地球上 , 改變了 。
we're not talking .	我們都知道 , 這真是很棒的 。
what’s going on here ?	這裡嗎 ?
afghanistan .	美國人 。
can you spot the difference ?	你的身體嗎 ?
you already have everything you need .	你需要你能做這些東西 。
this is a big joke .	這是個小的照片 。
and we want to dream big .	我們知道我們在做什麼 。
how are these people standing ?	誰是怎樣的 ?
but i do think you can .	但我希望你們知道這件事 。
these were the bad projects .	它是最大的 。
it was a wonderful experience .	很棒的是 。
and worse . . .	很棒的 。
we have to deal with it .	我們需要更好的 。
and maybe that's true .	因為這不是很棒的 。
but they were not teaching .	但他們知道他們是誰的 。
the network is redundant .	大型的細胞 。
i love people with any disease .	我是 「 健康 」 或 「 健康 」 。
sg: well done !	克里斯:謝謝 !
there's a better way .	結果是 。
so it's the data .	所以 , 地球上 。
i certainly wasn't .	我不知道 , 不錯 。
it gave me courage .	這是我所謂的 。
the idea matters a lot .	問題是如此 。
how much could we pay you ?	我們要如何做什麼 ?
there are things they care about .	她們的孩子 。
makes us look really young .	為了我們在學校中 。
let's play a game .	咱們開始看看 。
these are now two years out .	地球上 , 地球上 。
" oh , my god ! "	「 喔 , 喔 , 喔 ! 」
so what to do about it ?	所以 , 我們要如何做些什麼 ?
surely , we know enough .	所以 , 我們知道 , 我們需要改變 。
but had it ever existed ?	但這是什麼 ?
so how do we get there ?	所以 , 我們要如何做什麼 ?
we're born for them .	我們都有了 。
25 years it took .	六個小時 , 一半 。
however , bad things happen .	但 , 不錯 。
why is 25 percent important ?	為什麼嗎 ?
but then they often wait there .	但 , 孩子們會去做 。
i got another chapter .	我發現了一本 。
this is five times larger .	這是三個數字 。
nothing worked until i found this .	不管 , 我有一件事 。
now , testing is important .	結果是 , 問題是 。
ca: so help us understand .	克:所以我們知道我們如何做什麼 。
you say , you know what ?	你說: 「 你知道嗎 ?
well , it is the future .	這裡 , 我們的未來 。
here's the first example .	這是個例子 。
she is 15 years old .	她在198年 。
it's a reality now .	這是我們所做的 。
now it's gone .	這裡的一部分 。
dp: wow .	克:謝謝 。
but why can't they ?	但 , 為什麼不是什麼 ?
so the idea was pretty simple .	所以 , 非常簡單的 。
this is faith .	這是非常棒的 。
jack of spades .	克里斯 。
how can we be so sure ?	我們要如何做些什麼 ?
because this is where we are .	這就是我們所做的 。
no other country can do that .	沒有任何人 , 沒有任何人 。
we do have to protect them .	我們需要更好的 。
we love making patterns too .	我們的行為是如此 。
enter the twist .	美國人 。
so how do you do that ?	所以 , 你知道嗎 ?
and that's not me .	這不是我 。
and you are correct .	你的大腦 。
and i'm a mother .	我是 「 媽媽媽媽 。
i was lucky .	我很喜歡 。
and so what do we do ?	所以 , 我們要如何做什麼 ?
how would you go about it ?	你知道嗎 ?
here's an early computer .	這是個例子 。
so you get something like this .	所以你可以看到這件事 。
and time to land .	這裡 , 兩個人 。
lt: right .	哈:謝謝 。
one's a fish .	這裡 , 紅色 。
or step out of it .	不管 。
thank you . thank you .	謝謝 , 謝謝吧 。
they are not trusted .	他們沒有人 。
that was the family business .	這是美國的女性 。
it will get to you .	這樣了 。
audience: ooh !	說: 「 喔 !
just think for a moment .	想像一下這件事 。
they have always been wrong .	他們不需要的 。
thank you very much .	非常感謝各位 。
we didn't eat .	我們不夠了 。
so how does that work ?	所以 , 到底是什麼 ?
thank you , yeah .	謝謝謝謝 !
that's real time .	這是我們所做的 。
i am angry .	我很喜歡 。
buy african products .	美國人都有了 。
thank you . thank you .	謝謝 , 謝謝吧 。
but we don't .	但 , 不管 。
not only in humans .	不論 , 不論 。
so it does that well .	所以 , 結果是如此 。
she couldn't answer .	她很喜歡 。
thank you , thank you .	謝謝 , 謝謝吧 。
thank you . thank you .	謝謝 , 謝謝吧 。
and that question is this .	問題是 , 問題是 。
then i made a book .	於是我開始了 。
js: no .	哈:謝謝謝謝 。
thank you very much .	非常感謝各位 。
we don't know .	我們不需要這樣 。
thank you very much .	非常感謝各位 。
what if i could have ?	但是我知道嗎 ?
that social life is important .	問題是 , 人類的行為 。
these changes are coming .	它需要改變的 。
how does all this work ?	到底是什麼 ?
chad , 2 percent .	95% 。
this caused her pain .	它是 「 愛人 」 。
two words: pay up .	第一: , 孩子們 。
what would it look like ?	這樣嗎 ?
but both things were happening .	但這件事是 。
and it worked , too .	結果是 。
technology can do the same .	結果是 , 我們需要改變 。
but there is another point .	但這件事是 。
thank you very much .	非常感謝各位 。
what are other causes ?	到底是什麼 ?
you should have been there !	你可以看到你 。
" i know that . "	我說: 「 喔 !
for what is a man ?	到底是誰嗎 ?
and this is what happened .	這是個例子 。
it had to be done .	這樣了 。
he disagreed .	他很喜歡 。
raise your hand .	喔 , 喔 !
mb: no .	哈:謝謝 。
today , i use it .	今天 , 我有一件事 。
turns out , nothing .	嗯 , 不錯 。
and i saw a sign .	我喜歡了 。
this happens to us .	這是我們所做的 。
don't they ?	不管嗎 ?
they set people off .	他們的孩子 。
how do we create ?	我們要如何做什麼 ?
everything goes into it .	每個人都能改變 。
can you do that ?	你知道嗎 ?
or should they not ?	誰是誰嗎 ?
so it could happen .	所以 , 結果是 。
how do you know ?	你知道嗎 ?
this is the size .	這是個星星 。
said i could help .	讓我說 , 什麼 。
but it works !	但 , 這樣了 。
goes on from there .	這裡的一部分 。
we stand with them .	我們都需要做了 。
can you see it ?	你知道嗎 ?
do you sense them ?	你知道嗎 ?
so , yeah .	嗯 , 喔 !
it was painful .	很糟糕 。
now some hair .	這裡 , 一個人 。
but something interesting happened .	但這件事是 。
let's not .	想像一下 。
and then , this .	來吧 。
what does that mean ?	到底是什麼 ?
listen to it again .	聽一下這件事 。
this is not new .	這是非常棒的 。
it became the media .	美國人 。
it's cool .	很棒的 。
thank you so much .	非常感謝你們 。
i think we can .	我認為我們需要改變 。
and it is important .	這是非常簡單的 。
i don't .	我不知道了 。
thanks so much .	非常謝謝 。
thank you so much .	非常感謝你們 。
we tell ourselves stories .	我們知道自己的故事 。
and many others .	結果是 。
this has to go .	這裡是這樣的 。
what were you doing ?	你知道嗎 ?
and then . . .	再吧 。
and it did .	這樣了 。
" really ? "	「 對吧 ? 」
it just happens .	這樣了 。
stories are amazing .	故事是 。
ca: amazing .	克:謝謝 。
it actually happens .	這裡是這樣 。
second: water .	第二個例子 。
you americans .	你的孩子 。
i felt nothing .	我不知道了 。
and she is .	她很喜歡 。
it works .	這樣了 。
i love you .	我很喜歡 。
why is this ?	為什麼嗎 ?
what just happened ?	這樣嗎 ?
so consider this .	想像一下 。
what the f ?	哪子呢 ?
they got back .	他們的孩子 。
i was wrong .	我很喜歡 。
thank you everybody .	感謝你 。
and they did .	他們有機會 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
now right ?	這樣嗎 ?
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thanks .	非常感謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thanks .	非常感謝 。
thank you .	謝謝 。
thank you .	謝謝 。
take music .	聽吧 。
remember fire ?	聽吧 ?
example two .	第二個 。
okay ?	對吧 ?
ok ?	對吧 ?
have sex .	不管 。
wow .	很棒 。
thank you .	謝謝 。
yeah .	非常棒 。
i understand .	我知道這 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
right ?	對吧 ?
what ?	對吧 ?
how ?	那麼嗎 ?
china .	美國人 。
education .	美國人人 。
we try to avoid blowing ourselves up .	我們都知道 , 我們的孩子都很糟糕 。
it may even be subject to elimination .	不論 , 不論是很好的 。
this is india coming up , with the first data from india .	這是在198年 , 美國人都有了一件事 。
and i think , actually , that's already really happening .	我認為 , 我認為 , 今天 , 這裡 , 我們是一件事 。
they have to return the letter . "	他們會說: 「 嘿 , 來 。 」
so it isn't in the series .	所以 , 很棒的 。
those are the questions i want to talk about today .	問題是 , 我知道這就是我的故事 。
yr: yeah , twometer span .	克:謝謝謝謝 。
let me first grade what are the most important means .	首先 , 我發現了這個問題 。
so this is something that must be addressed .	所以 , 結果是 , 它是非常大的 。
it's another way of getting the intuition .	它是非常大的例子 。
it's preposterous on its face .	它是很棒的 。
they hunt . they grow crops .	他們的孩子都不太好 。
the other is called the lester election .	很棒的 , 叫做 「 黑猩猩 」 。
sc: i mean , that speaks volumes .	克:我說: 「 喔 , 喔 。
this is called " dawn to dawn . "	叫做 「 黑人 」 。
the mende sons of bastards .	女兒 , 黑人 。
you become the president of the united states .	想像一下 , 美國人都在美國 。
so this is where the mouse came from as well .	所以 , 這裡的一部分是很大的 。
i mean , that's all i heard growing up .	我的意思是 , 我會說: 「 嘿 , 天啊 !
and so i want to do a little demo for you .	我想看看你們 , 來看看你 。
resolutions , smoke .	大型的小型 。
there would be a lot of money flowing into the countries .	每百個國家 , 美國的國家 。
most of the time , everything is recorded insync .	結果是 , 許多人都很大了 。
and the amazing thing is these guys were flying .	結果是 , 所有人都很糟糕 。
that was nearly 14 , 000 babies .	大概是1955年 。
this was exactly the initial dream of that project .	這是個故事的例子 。
but indeed , that is exactly what we do .	但 , 問題是 , 我們的確想 。
they haven't had a war in 200 years .	他們在199年時 。
i'll show you by drawing a simple picture .	我想看看這張照片 。
what if he's psychotic ? "	「 不管嗎 ? 」
jason harley did that for me .	哈哈斯·斯·斯·斯·克斯:我知道了 。
i said , " what do you want to do ? "	我說: 「 嘿 , 你要做什麼 ? 」
turns out we kind of do a reasonable job .	問題是 , 我們需要更好的 。
that's 23 times the global average .	大概是195% 。
i loved it , but it didn't work .	我很喜歡 , 不管是很好的 。
the dinosaurs had a really bad day .	這裡的一部分是很棒的 。
victory was a very weird feeling .	愛人 , 很糟糕 。
and i went to bed every night thinking about it .	我在學校裡 , 我會去去做 。
they didn't get very far , obviously .	沒有人 , 不管是很好的 。
this is the cubestormer ii .	這是我所謂的 。
you were separated from your family by the state .	你的孩子 , 或美國的孩子 。
the building was finished in 1983 .	在199年時 , 美國人都在198年 。
we didn't create jobs for our youth .	我們不需要我們所需要的 。
all of these people , one profession .	她們是最好的 。
my mother wanted me to be a dentist .	我說: 「 嘿 , 我有了 。
and i hope she's somewhere safe .	我會說 , 不管 , 不管 。
so , first of all , it's really fun .	所以 , 首先 , 非常簡單 。
say your motorcycle crashes .	說: 「 嘿 , 來吧 。
that's how you create a collective goal .	這樣 , 可以把這些人更快 。
do you want to let it loose on the internet ?	你想看看 , 到底有多少人嗎 ?
how many of you won just won thumb ?	什麼是 , 誰有多少人嗎 ?
the taliban now run their own schools .	美國人都在學校裡 。
and like anything else listen , it takes resources .	不管你會說: 「 世界 」 的 。
he wants to clunk me over the head !	他說: 「 嘿 , 來吧 ! 」
and we can do that for another neuron in green .	我們知道 , 我們的身體會是最大的 。
this is an image of rain in motion .	這張圖圖是很大的 。
i'm human . i make mistakes .	我很喜歡的 , 我也很喜歡了 。
and those distributions grow .	牠們是最大的國家 。
so malaria is a disease that kills you .	所以 , 血鬱症 , 血鬱症 。
so this is a small crank generator .	這裡 , 紅色的小型是很大的 。
turns out ants are pretty good at this .	結果是 , 很棒的 。
this is if there was an issue on the pad .	這真是很棒的 。
his name is adam rifkin .	他的名字叫做 「 黑人 」 。
you should have seen my parents' reaction !	你知道 , 如果我說: 「 嘿 , 我有了 。
but there were other novelties as well .	但事實上 , 不論是很好的 。
we're not trying to control polio .	我們也知道 , 不管是如此的 。
and i wanted to deal with other subjects .	我知道 , 所有人都很糟糕 。
this one is called the netherlands .	這張照片叫做 「 黑人 」 。
and are you yawning right now ?	你知道嗎 ?
yeah , we'll have to work on that .	嗯 , 我們要做這一點 。
and it's not for lack of trying .	不管是很好的 。
and they're incredible guys .	他們也不想了 。
and then there is static apnea .	所以 , 大小的小人 。
some people broadcast the whole time .	一個人都在一場工作中 。
so it was a world without grandparents .	所以 , 大部分人都不夠了 。
they grow 10 meters long ; some say bigger .	每百個國家 , 都有一群人 。
this is data actually on the consolation behavior .	這是我們所謂的科技 。
this is how they divide classrooms .	這是個人 , 都能被更好的 。
and it's the same thing with coding .	結果是 , 所有人都都一樣了 。
the big one is to be not afraid .	這裡的一部分是很棒的 。
and i looked at word analysis .	我說: 「 嗯 , 喔 !
we cannot afford to take that chance .	我們不需要我們所需要的 。
my story is the power of a metaphor .	我的意思是 , 我是最大的例子 。
this is how it looked like about six years ago .	這張照片在198年時 。
well , it turns out , quite a lot .	嗯 , 這裡 , 很棒的 。
whose son shall it be ?	誰是誰嗎 ?
now , to the satellites things .	這裡 , 我們看到了一件事 。
and all i could detect was this energy energy .	我可以改變能源的能量 。
1959 , ok and the month ?	在1995年 , 阿哈斯.. ?
it's complete security theater .	它是非常大的 。
so that's what we're going to do .	所以這就是我們所需要的 。
i mean , it could have been otherwise .	我的意思是 , 不管是很好的 。
so much has happened since the last time i seen you .	所以 , 今天 , 我開始看看這張照片 。
what an odd choice for powerful man to make .	許多人都能被更好的 。
i can call 911 for you and send help .	我在195歲時 , 沒有任何人 。
in angola or afghanistan .	美國人 , 叫做 「 黑人 」 。
they do lots of inconsistent things .	他們是最大的一部分 。
but for our cities , we've been stuck .	但 , 我們的目標是 , 我們在網路裡 。
my team lost ; the national coach walked away .	我在美國的孩子中 。
chris anderson: did you touch it ?	克里斯:你說: 「 嘿 , 什麼 ?
each module could do things with a pattern .	每個人都能用這些東西 。
i did what many girls and women learn to do .	我是一位孩子的孩子 , 孩子們的孩子 。
the city called me and asked if our technology could help .	美國人說 , " 問題是 , 我們需要改變未來 。
and by the way , it's continued to .	結果是 , 所有人都很好 。
develop and save more of you now for later in life .	每個人 , 都能改變世界 。
pause now to figure it out for yourself .	一件事 , 人們會說 , 誰是這樣的 。
what if i had told her my story years ago ?	如果我說: 「 嘿 , 我在哪裡 ?
so the most important thing is integrity .	所以 , 問題是 , 許多人都很重要 。
almost 24 million people have diabetes .	超過25% 。
but to me , things aren't the future .	但 , 今天 , 我知道 , 未來的未來 。
ok , so that was a massive failure .	嗯 , 非常驚訝的 。
ws: and done ! ok , good job !	說: 「 喔 , 來吧 ! 」
gc: after last night , not for a while .	克里斯:所以 , 聽起來 , 聽起來 , 很棒 。
and so it came to me in waves .	所以 , 我看到了一件事 。
so what if you've targeted cells ?	所以 , 若你能說 , 癌症的細胞 , 對吧 ?
you're really left alone with your own thoughts .	你知道 , 你的眼睛是這樣的 。
to climate change that would be like kyoto .	地球上 , 大部份的速度 。
and i said , " am i asexual now ?	我說: 「 嘿 , 我有什麼嗎 ?
did anyone see " lost in translation " ?	誰會說: 「 喔 , 什麼 ? 」
and that's the role of the presenter .	這裡 , 這裡的一部分 。
how will you cook your chicken now ?	你會說: 「 嘿 , 什麼嗎 ?
so i resolved to give more .	所以我有了一件事 。
you know , one word: tunisia .	你說: 「 喔 , 喔 !
to , " could we have done something about it ? "	「 我們能做什麼 ? 」
yes , he probably had ongoing depression .	說 , 不管 , 不論是很大的 。
now to the second potential misunderstanding .	這裡 , 許多人都有了 。
there are two billion young people between 15 and 30 .	每百個國家 , 超過25% 。
sever his spine at the neck .	所以 , 他的名字 。
now , what is the beauty in it ?	那麼 , 到底是哪些呢 ?
uh , sure , that'd be great .	嗯 , 嗯 , 很棒的 。
you don't just zip right into it .	不管 , 不管是很棒的 。
so , what does that precision buy us ?	所以 , 到底有多少人 , 哪些 ?
we are going to use it in and around humans .	我們需要更快的改變 。
here's a human heart at 25 days .	這裡 , 500% 。
the problem was solved in less than a day .	問題是 , 我們有一件事 。
what causes recessions ?	到底是如何運作的 ?
is it nurture or is it nature ?	它是最大的 , 對吧 ?
it's even smaller in scale .	這裡是一場小小的 。
the world has other universal languages .	許多人都有許多人 。
the farmers were overjoyed .	美國人 , 美國人 。
this is one of the most beautiful things i know .	這是我所謂的一件事 。
forge meaning and build identity .	即使我有許多人 。
so , how could we make better sense about this ?	所以 , 我們要如何改變什麼事 ?
it started as a means of selfexpression .	結果是 , 許多人都很糟糕 。
so on large scale what do they use ?	所以 , 到底有多少樣子 ?
now , we started working together 18 months ago .	今天 , 我們在198年開始了 。
and three , don't leave before you leave .	這裡 , 一旦你在你看過 。
the final movement is called mounds .	最大的名字 。
these are the two factors that always come out .	這裡的圖件是很大的 。
that's why it's on the street .	不管是 , 美國人都很棒了 。
well , good news . we got the time .	嗯 , 我們有了一件事 。
and costa rica's not alone .	美國人都不夠 。
which is why orion has weapons .	問題是 , 不管是如此 。
some even said i had a political motive .	人們說: 「 嘿 , 不管的 。
so we've got big cost challenges here .	所以 , 我們在科技中 , 都能改變 。
and this makes sense , of course , right ?	結果是 , 什麼是 , 對吧 ?
so i have not come here to complain .	我知道 , 它是很大的 。
but i hope you see where we're going .	但是我知道 , 今天我們能做這個東西 。
ghana felt safe to me as a child .	女兒和我媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽媽
what i saw was my teachers coming through me .	我在我的朋友中 , 讓我在我一起做 。
oh , that's awesome !	喔 , 喔 !
let me talk about " hamlet . "	讓我說: 「 嘿 , 喔 !
i was like , this is gorgeous .	我的意思是 , 很棒的 。
i started my journey 30 years ago .	我在198年時 , 我開始了 。
you need to go get an hiv test . "	你能把這些東西放入了 。
there is so much information ; what do you do ?	問題是 , 我們要如何做什麼事 ?
where have they come from ? where are they going ?	誰有多少人嗎 ?
can we make a hat into a toy ?	我們要如何做些什麼嗎 ?
the only good thing in the box was hope .	結果是 , 所有人都一樣 。
because , in the meantime , kids are alone .	因為 , 不管是 , 孩子們是誰的孩子 。
two fires together , i get really hot .	每次 , 我是一場小的 。
if people knew how to overcome failure ?	但 , 誰會問 , 誰有多少人 ?
aquecerse uckedfay .	黑猩猩猩人 。
she's at a microfinance meeting .	她是 「 大型 」 。
so why are both known as goths ?	所以 , 不管是誰的 , 對吧 ?
so i went back that very summer .	於是我開始了 。
he forgives the general in this image .	他的一部分是很大的 。
he's out over the channel .	他是一名小的 。
can i believe in this this passionately ?	我知道這是什麼 , 對吧 ?
is 100 one thing , 10 things or 100 things ?	地球上 , 大約是25%的 ?
do that kind of stuff , have fun with it .	結果是 , 所有人都一樣 。
it's like a centrifuge .	它是非常大的 。
but it's not just going to stop there .	但 , 不管是 , 不管 , 不管 , 不管 。
it's always something in the distance .	不管是很好的 。
so it can't turn the genes on .	所以 , 地球上 , 它會改變 。
they spring from the same source .	他們是一群的一部分 。
they'd like you to walk away from that .	他們可以把你看過一台 。
i am the lifeforce power of the universe .	我是最大的數據 。
that's the real important thing about safety .	這是個問題 。
tbl: can you say " now " ?	說: 「 喔 , 喔 , 喔 !
and what we did over there was pretty much simple .	這裡 , 我們會看到這個問題 。
there was a reason for that ; it was me .	很棒的是 , 我很驚訝 。
wow . that's a lot of you .	嗯 , 嗯 , 喔 !
they were at peace with each other .	他們會把他們更好的一部分 。
how should we all respond ?	我們要如何做什麼事 ?
i was at that lake recently .	我很喜歡的照片 。
trees epitomize stasis .	紅色的水 。
this has been going on for 40 years now .	這裡 , 在199年 ,
but i struggle to translate .	但是我有了一部分 。
let's start with the amazon !	咱上 , 我們看到了 。
and i said , " this can't happen .	我說: 「 嗯 , 喔 !
let's talk for a minute about these companies .	想像一下 , 今天 , 一件事 , 一件事 。
now , this has consequences .	結果是 , 這裡的一部分 。
and it's not just in norway .	不論 , 不太不錯 。
i'm quite fond of it .	我的意思是 。
because think about the teddy bear .	因為這就是我們所謂的 。
the dwarf carried on .	大小的小人 。
i hope i have achieved that .	我知道 , 我有一件事 。
what was the purpose of my human ?	到底是我所謂的 , 對吧 ?
and sadly , i think there are .	嗯 , 我很興奮 。
what the company does is ____ ?	美國人是如何運作的 ?
and it all begins with curiosity .	結果是 , 所有人都很好 。
you know , that's how you do science .	你知道 , 你知道 , 問題是 , 我們知道這個問題 。
so let me start with genomics .	想像一下 , 我發現了一件事 。
but first they have to break out of jail .	但 , 一件事是 , 一個人都很棒了 。
they could maybe volunteer that much .	他們不需要它 。
so this is our problem , as you can imagine .	所以 , 我們知道這就是我們所做的 。
so i'm a neurosurgeon .	所以我是最大的生物學家 。
what are the emotions that can be measured ?	什麼是 , 不論是如何改變的 ?
